Sample_ID,Group,plot_col,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,Var.Prop
SAR_00_2430,WCR,grey,-0.00148144880674539,-0.0207494303705454,0.00556678159914425,0.0155950203077327,-0.0136895772755116,0.0072075524379343,-0.0572721031483879,-0.0300224500724982,0.0515472315300471,0.0500848581251937,0.0186265947203688,0.0182416460516113,0.0154854793200002,0.0657577635417411,0.0247813193219347,-0.0157235691638649,-0.017581525005677,-0.0966372274308526,-0.0143618256218014,-0.0171542391102543,-0.052937029156125,-0.0726744808509847,-0.0130625499811631,0.0300296002921673,-0.0195284128848054,-0.067894385695524,0.0582684510103507,-0.0309143413269806,0.0820830738896025,0.00101978204327893,-0.0146050496714787,-0.0334767096189095,0.0189193144040054
SAR_00_2432,WCR,grey,-0.00662945856383196,-0.0392318155893881,0.002303720033606,0.0107618787319258,0.0047005537512799,0.0108262864861559,-0.0156095471245941,0.0323654491764608,0.00474155553286426,0.0120803015137376,0.0396450082315702,-0.0326677918127279,-0.0393861058822833,-0.0185234054586695,0.0056486041296,-0.0333391604741136,-0.0132017091539082,-0.0196877824483163,-0.0179587420133182,0.0288025555322715,-0.00999112447072339,-0.00191861257501363,0.0227830188692578,0.0242979681090251,0.00533595086347907,-0.0264440795736001,0.0516130057476409,-0.0223156210309773,-0.0444434029811878,0.0060340019684619,-0.0179099783806866,-0.00321225502976138,0.00537879536481115
SAR_00_2433,WCR,grey,-0.00495022674344368,0.0279677485318939,0.00146584887324947,0.0143964251907828,-0.0222315807326419,0.0169541221691849,0.0118186070819657,-0.0390073931943871,-0.00242275951508385,0.012077783374323,0.0144557569471257,-0.0115669918365931,0.00873077709078231,-0.0404915180001976,-0.0197874598740367,-0.0156226948796605,-0.00252044993180118,0.0238934432288138,-0.0033724551290042,-0.0225994646361644,0.00211737052757454,-0.00682166546647586,0.0097813007073304,-0.0562510161973287,-0.000109261390038085,0.0316483488966931,0.00899100367071102,0.00278393418611388,-0.0413375462684754,-0.0171251523244418,-0.0249302471134534,-0.038542927470235,0.00480604703562314
SAR_00_2434,WCR,grey,-0.00191904355784485,0.0157292197576652,-0.00146147262351838,0.0126996664000352,-0.00988273641179207,0.0127269282487608,-0.0133711452300319,-0.0165499340638053,-0.0101339930893854,0.0104422433489688,0.0171958229075508,0.0299206165141837,-0.0179341109807678,-0.0184603056369861,-0.00594838910315701,-0.00364073365377355,-0.0588751447846752,-0.00460927915911318,0.00976106550744173,0.00512772248244748,-0.0128086208858282,0.0220276162213849,-0.0429816108653093,0.0116408858528631,-0.0462413481560978,-0.0469027610861755,-0.0162130142676335,0.0241884419481956,0.013741406611388,0.000366669713165279,-0.0561243903374679,-0.00706577837872125,0.00468649525426864
SAR_00_2436,WCR,grey,-0.00497524051638317,-0.0107146849751286,0.0214012051815015,-0.0109773111085537,0.0412274024906528,-0.0409339203579287,-0.087406880040798,-0.0155808522450266,0.0831949684969839,0.0686124924623368,-0.219929890440323,0.0341667214435611,0.0422581600763158,0.0580972857402455,-0.116284277073439,-0.0485310001867275,0.114495757292502,0.0234061504658149,0.0439713786638971,-0.0224627800686443,0.0400602348738743,0.03060707885902,-0.00813915493037524,-0.00104952989762556,0.00510967803862589,0.00172189472423731,0.0276938483906933,-0.00866586631423282,-0.0213538240808339,0.0101788226046728,-0.0186121945847338,0.019540402143988,0.00464681556510152
SAR_00_2437,WCR,grey,-0.00640708292277158,0.0106019482968165,-0.0126867190910341,-0.00700424433898436,-0.00370745123727442,0.0214545762019047,0.0109155747261234,-0.0123886744151266,0.0380520592361625,-0.0134676398463324,-0.0144015606645071,0.0148682371801987,-0.0103774529891143,0.0241336314537119,-0.00499332659400158,0.00471198498723324,-0.0581544258851818,0.00880647537816587,0.0308738317552472,-0.0076262845660107,0.0206706940829481,0.0204875040998467,-0.00889233989469489,0.0275300513538472,-0.0252949637215363,0.0356503555618854,0.015223387960609,-0.0329139737541905,0.0208262182699034,-0.0126894821392074,0.0406936235398535,-0.0261349666172349,0.00434910258291345
SAR_00_2438,WCR,grey,-0.00679263515522083,-0.0255782075510608,-0.0133148606373496,0.0168681493812614,0.00274647829878499,-0.0218800302529542,-0.0173879207238564,-0.00344687468816733,0.00924463262730216,0.00865422883178862,0.0207164571955126,0.00597235348382806,0.00211730321381106,0.00709454531868054,-0.00700037446879569,0.018510645021424,-0.000690790109965995,-0.0217630261576381,-0.0313783593175344,0.0661283045991016,-0.00360806941077774,0.0202878428991518,0.00664043080650242,0.0174680615612962,0.0627693165488741,0.00757051229546576,0.015369094609505,0.0047228099606671,0.00624958132751912,0.0321322944088276,0.0528408348644301,0.0509319740401942,0.00421522370413084
SAR_00_2439,WCR,grey,-0.00364366176594224,0.0196321582352897,-0.026733609800826,0.0215693466400514,0.0222121526224205,-0.0178474125326293,0.0132909348166833,0.0246384410532761,-0.00103524641341928,0.0166780521638877,-0.0229339562970467,-0.00636857364285432,0.00942453085101757,-0.00141194769077099,-0.0129517785219769,0.00866412664144772,0.0205917006351127,0.011645625059232,0.00215597910109966,-0.0384019752319753,0.00461583640995506,-0.0564243418247311,0.0185878972071371,-0.00316278208112426,0.0175034126997631,0.0142117417981031,-5.74907553002402e-05,0.0230062557730653,-0.00914191230583619,0.0472625712122325,-0.0077742559289219,-0.0299313797679681,0.00406608497111149
SAR_00_2440,WCR,grey,-0.00358990796362534,-0.0366115883587587,-0.0126684299900622,0.0187711961360248,0.00118936969212979,-0.00652224288385244,-0.061913190161066,-0.0382567191878938,0.0237361552885562,0.0418971609039962,-0.00836394604609756,0.00194049625932089,-0.00216174478249519,0.0473114374765671,0.0109039428179726,-0.0552752898441843,-0.000141500607637685,-0.0305700806495597,0.0276864822574334,0.0343377702241037,-0.0215413746921706,-0.0315724619249804,-0.0261861459313388,0.0264318303465791,-0.0165914728579129,-0.0330168633703252,0.0341407515792872,-0.0040675639114458,0.0518731937688469,-0.0755294477326707,0.0380671878519194,-0.030293712962094,0.00380631801467404
SAR_00_2442,WCR,grey,0.00462160976915197,0.00497506296324174,0.0137668737062178,-0.00110425979452568,-0.0200672451178238,-0.00929640278502829,0.0104059971930557,0.0183839912067689,0.00791417810588196,-0.00258965894982357,0.0320261698843888,-0.0194697287524209,-0.015669119680727,-0.0206178619618862,0.0166818603423033,-0.0332871579085692,-0.0286177512456732,0.0188338116065487,-0.00955344177159689,0.0110518833893844,0.0169992535897502,-0.0111368981906419,0.0021656981938642,0.0300504284047428,0.00486521057113593,-0.0202177978779355,0.00404136324287143,0.0092666105934402,-0.041316026232253,-0.00238725650381065,0.0153435818308405,0.00847550576415602,0.00367668035302033
