"","year","brood","offspring","rank","dam","sire","pair","valid_cross","dam.type","sire.type","hothiphop.parents","hiphop","hot.parents","hot.dam","hot.sire","hothiphop.dam","hothiphop.sire","below.threshold","threshold","loci.dyad.dam","loci.dyad.sire","loci.triad","offspring.heterozygosity","social.mother.sampled","social.father.sampled","social.mother","social.father","condition","ranking","ranking2"
"66",2015,"Test_F1","SAR_15_6722",3,"SAR_15_6437","SAR_15_6401","SAR_15_6401_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",385,278,107,94,57,372,335,1,99999,2643,4881,2626,0.412595882115462,0,0,NA,NA,"none","hothiphop.parents","none"
"67",2015,"Test_F1","SAR_15_6723",1,"SAR_15_6446","SAR_15_6429","SAR_15_6429_SAR_15_6446",TRUE,"within-group subordinate","within-group subordinate",206,155,51,15,38,170,193,1,99999,4936,4987,4929,0.406287545054065,0,0,NA,NA,"none","hothiphop.parents","none"
"68",2015,"Test_F1","SAR_15_6723",2,"SAR_15_6446","SAR_15_6401","SAR_15_6401_SAR_15_6446",FALSE,"within-group subordinate","within-group subordinate",350,282,68,15,58,297,340,1,99999,4936,4920,4868,0.406287545054065,0,0,NA,NA,"none","hothiphop.parents","none"
"69",2015,"Test_F1","SAR_15_6723",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",375,288,87,65,58,353,346,1,99999,3020,4920,3004,0.406287545054065,0,0,NA,NA,"none","hothiphop.parents","none"
"70",2015,"Test_F1","SAR_15_6724",1,"SAR_15_6440","SAR_15_6401","SAR_15_6401_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",313,205,108,16,96,221,301,1,99999,4973,4925,4900,0.304078368652539,0,0,NA,NA,"none","hothiphop.parents","none"
"71",2015,"Test_F1","SAR_15_6724",2,"SAR_15_6440","SAR_15_6407","SAR_15_6407_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",348,193,155,16,144,209,337,1,99999,4973,4970,4943,0.304078368652539,0,0,NA,NA,"none","hothiphop.parents","none"
"72",2015,"Test_F1","SAR_15_6724",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",394,226,168,145,96,371,322,1,99999,3020,4925,3000,0.304078368652539,0,0,NA,NA,"none","hothiphop.parents","none"
"73",2015,"Test_F1","SAR_15_6725",1,"SAR_15_6437","SAR_15_6438","SAR_15_6437_SAR_15_6438",TRUE,"within-group subordinate","within-group subordinate",228,116,112,96,43,212,159,1,99999,2640,4920,2633,0.311236863379143,0,0,NA,NA,"none","hothiphop.parents","none"
"74",2015,"Test_F1","SAR_15_6725",2,"SAR_15_6437","SAR_15_6401","SAR_15_6401_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",342,197,145,96,95,293,292,1,99999,2640,4874,2621,0.311236863379143,0,0,NA,NA,"none","hothiphop.parents","none"
"75",2015,"Test_F1","SAR_15_6725",3,"SAR_15_6437","SAR_15_6407","SAR_15_6407_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",358,209,149,96,117,305,326,1,99999,2640,4918,2634,0.311236863379143,0,0,NA,NA,"none","hothiphop.parents","none"
"76",2015,"Test_F1","SAR_15_6726",1,"SAR_15_6446","SAR_15_6429","SAR_15_6429_SAR_15_6446",TRUE,"within-group subordinate","within-group subordinate",269,211,58,38,21,249,232,1,99999,4946,4997,4938,0.384538553735517,0,0,NA,NA,"none","hothiphop.parents","none"
"77",2015,"Test_F1","SAR_15_6726",2,"SAR_15_6508","SAR_15_6429","SAR_15_6429_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",368,279,89,80,21,359,300,1,99999,3031,4997,3027,0.384538553735517,0,0,NA,NA,"none","hothiphop.parents","none"
"78",2015,"Test_F1","SAR_15_6726",3,"SAR_15_6437","SAR_15_6401","SAR_15_6401_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",389,268,121,108,71,376,339,1,99999,2652,4934,2636,0.384538553735517,0,0,NA,NA,"none","hothiphop.parents","none"
"79",2015,"Test_F1","SAR_15_6727",1,"SAR_15_6502","SAR_15_6503","SAR_15_6502_SAR_15_6503",TRUE,"within-group subordinate","within-group subordinate",291,220,71,50,46,270,266,1,99999,4387,4841,4263,0.372389098866123,0,0,NA,NA,"none","hothiphop.parents","none"
"80",2015,"Test_F1","SAR_15_6727",2,"SAR_15_6508","SAR_15_6503","SAR_15_6503_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",325,214,111,97,46,311,260,1,99999,3034,4841,2972,0.372389098866123,0,0,NA,NA,"none","hothiphop.parents","none"
"81",2015,"Test_F1","SAR_15_6727",3,"SAR_15_6437","SAR_15_6503","SAR_15_6437_SAR_15_6503",FALSE,"within-group subordinate","within-group subordinate",369,223,146,138,46,361,269,1,99999,2667,4841,2602,0.372389098866123,0,0,NA,NA,"none","hothiphop.parents","none"
"82",2015,"Test_F1","SAR_15_6728",1,"SAR_15_6450","SAR_15_6458","SAR_15_6450_SAR_15_6458",TRUE,"within-group subordinate","within-group subordinate",200,154,46,34,16,188,170,1,99999,4980,4980,4960,0.359,0,0,NA,NA,"none","hothiphop.parents","none"
"83",2015,"Test_F1","SAR_15_6728",2,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",372,240,132,103,79,343,319,1,99999,3027,4927,3007,0.359,0,0,NA,NA,"none","hothiphop.parents","none"
"84",2015,"Test_F1","SAR_15_6728",3,"SAR_15_6450","SAR_15_6401","SAR_15_6401_SAR_15_6450",FALSE,"within-group subordinate","within-group subordinate",374,267,107,34,79,301,346,1,99999,4980,4927,4909,0.359,0,0,NA,NA,"none","hothiphop.parents","none"
"85",2015,"Test_F1","SAR_15_6729",1,"SAR_15_6505","SAR_15_6498","SAR_15_6498_SAR_15_6505",TRUE,"within-group subordinate","within-group subordinate",175,118,57,40,25,158,143,1,99999,4858,4961,4814,0.344896331738437,0,0,NA,NA,"none","hothiphop.parents","none"
"86",2015,"Test_F1","SAR_15_6729",2,"SAR_15_6508","SAR_15_6498","SAR_15_6498_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",325,215,110,104,25,319,240,1,99999,3031,4961,3009,0.344896331738437,0,0,NA,NA,"none","hothiphop.parents","none"
"87",2015,"Test_F1","SAR_15_6729",3,"SAR_15_6437","SAR_15_6498","SAR_15_6437_SAR_15_6498",FALSE,"within-group subordinate","within-group subordinate",351,217,134,133,25,350,242,1,99999,2661,4961,2640,0.344896331738437,0,0,NA,NA,"none","hothiphop.parents","none"
"88",2015,"Test_F1","SAR_15_6730",1,"SAR_15_6446","SAR_15_6429","SAR_15_6429_SAR_15_6446",TRUE,"within-group subordinate","within-group subordinate",171,130,41,28,15,158,145,1,99999,4952,5005,4944,0.361460203470975,0,0,NA,NA,"none","hothiphop.parents","none"
"89",2015,"Test_F1","SAR_15_6730",2,"SAR_15_6508","SAR_15_6429","SAR_15_6429_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",367,258,109,105,15,363,273,1,99999,3029,5005,3026,0.361460203470975,0,0,NA,NA,"none","hothiphop.parents","none"
"90",2015,"Test_F1","SAR_15_6730",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",380,247,133,105,94,352,341,1,99999,3029,4937,3010,0.361460203470975,0,0,NA,NA,"none","hothiphop.parents","none"
"91",2015,"Test_F1","SAR_15_6731",1,"SAR_15_6499","SAR_15_6494","SAR_15_6494_SAR_15_6499",TRUE,"within-group subordinate","within-group subordinate",137,86,51,20,33,106,119,1,99999,5000,4962,4932,0.329755515802027,0,0,NA,NA,"none","hothiphop.parents","none"
"92",2015,"Test_F1","SAR_15_6731",2,"SAR_15_6499","SAR_15_6401","SAR_15_6401_SAR_15_6499",FALSE,"within-group subordinate","within-group subordinate",347,233,114,20,101,253,334,1,99999,5000,4954,4926,0.329755515802027,0,0,NA,NA,"none","hothiphop.parents","none"
"93",2015,"Test_F1","SAR_15_6731",3,"SAR_15_6508","SAR_15_6494","SAR_15_6494_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",353,219,134,124,33,343,252,1,99999,3036,4962,3010,0.329755515802027,0,0,NA,NA,"none","hothiphop.parents","none"
"94",2015,"Test_F1","SAR_15_6732",1,"SAR_15_6440","SAR_15_6401","SAR_15_6401_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",307,185,122,33,100,218,285,1,99999,4875,4830,4808,0.278718628851255,0,0,NA,NA,"none","hothiphop.parents","none"
"95",2015,"Test_F1","SAR_15_6732",2,"SAR_15_6440","SAR_15_6407","SAR_15_6407_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",347,183,164,33,143,216,326,1,99999,4875,4870,4846,0.278718628851255,0,0,NA,NA,"none","hothiphop.parents","none"
"96",2015,"Test_F1","SAR_15_6732",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",370,196,174,149,100,345,296,1,99999,2993,4830,2972,0.278718628851255,0,0,NA,NA,"none","hothiphop.parents","none"
"97",2015,"Test_F1","SAR_15_6733",1,"SAR_15_6450","SAR_15_6458","SAR_15_6450_SAR_15_6458",TRUE,"within-group subordinate","within-group subordinate",115,50,65,35,31,85,81,1,99999,4963,4962,4944,0.30234892591849,0,0,NA,NA,"none","hothiphop.parents","none"
"98",2015,"Test_F1","SAR_15_6733",2,"SAR_15_6450","SAR_15_6401","SAR_15_6401_SAR_15_6450",FALSE,"within-group subordinate","within-group subordinate",334,211,123,35,96,246,307,1,99999,4963,4901,4885,0.30234892591849,0,0,NA,NA,"none","hothiphop.parents","none"
"99",2015,"Test_F1","SAR_15_6733",3,"SAR_15_6508","SAR_15_6458","SAR_15_6458_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",346,231,115,108,31,339,262,1,99999,3014,4962,3007,0.30234892591849,0,0,NA,NA,"none","hothiphop.parents","none"
"100",2015,"Test_F1","SAR_15_6734",1,"SAR_15_6479","SAR_15_6453","SAR_15_6453_SAR_15_6479",TRUE,"within-group subordinate","within-group subordinate",248,197,51,25,29,222,226,1,99999,4945,4941,4896,0.383583583583584,0,0,NA,NA,"none","hothiphop.parents","none"
"101",2015,"Test_F1","SAR_15_6734",2,"SAR_15_6437","SAR_15_6401","SAR_15_6401_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",387,268,119,106,67,374,335,1,99999,2654,4920,2637,0.383583583583584,0,0,NA,NA,"none","hothiphop.parents","none"
"102",2015,"Test_F1","SAR_15_6734",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",396,283,113,98,67,381,350,1,99999,3028,4920,3008,0.383583583583584,0,0,NA,NA,"none","hothiphop.parents","none"
"103",2015,"Test_F1","SAR_15_6735",1,"SAR_15_6417","SAR_15_6420","SAR_15_6417_SAR_15_6420",TRUE,"within-group subordinate","within-group subordinate",140,83,57,22,37,105,120,1,99999,4977,4869,4852,0.327396437862718,0,0,NA,NA,"none","hothiphop.parents","none"
"104",2015,"Test_F1","SAR_15_6735",2,"SAR_15_6417","SAR_15_6401","SAR_15_6401_SAR_15_6417",TRUE,"within-group subordinate","within-group subordinate",333,220,113,22,103,242,323,1,99999,4977,4921,4903,0.327396437862718,0,0,NA,NA,"none","hothiphop.parents","none"
"105",2015,"Test_F1","SAR_15_6735",3,"SAR_15_6508","SAR_15_6420","SAR_15_6420_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",369,215,154,140,37,355,252,1,99999,3022,4869,2980,0.327396437862718,0,0,NA,NA,"none","hothiphop.parents","none"
"106",2015,"Test_F1","SAR_15_6736",1,"SAR_15_6425","SAR_15_6427","SAR_15_6425_SAR_15_6427",TRUE,"within-group subordinate","within-group subordinate",153,113,40,18,25,131,138,1,99999,4997,4996,4976,0.360302909525707,0,0,NA,NA,"none","hothiphop.parents","none"
"107",2015,"Test_F1","SAR_15_6736",2,"SAR_15_6508","SAR_15_6427","SAR_15_6427_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",328,244,84,73,25,317,269,1,99999,3033,4996,3026,0.360302909525707,0,0,NA,NA,"none","hothiphop.parents","none"
"108",2015,"Test_F1","SAR_15_6736",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",341,236,105,73,88,309,324,1,99999,3033,4940,3012,0.360302909525707,0,0,NA,NA,"none","hothiphop.parents","none"
"109",2015,"Test_F1","SAR_15_6737",1,"SAR_15_6425","SAR_15_6427","SAR_15_6425_SAR_15_6427",TRUE,"within-group subordinate","within-group subordinate",248,198,50,27,29,225,227,1,99999,4971,4973,4950,0.381581581581582,0,0,NA,NA,"none","hothiphop.parents","none"
