ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_61 f1h_179 PO 61.11 0 NA NA NA 3 3 8110
f0_174 f1h_469 PO 60.29 0 NA NA NA 3 3 8126
f0_94 f1h_484 PO 58.61 0 NA NA NA 3 3 8118
f0_73 f1h_118 PO 58.45 0 NA NA NA 3 3 8110
f0_119 f1h_19 PO 58.35 0 NA NA NA 3 3 8121
f0_39 f1h_41 PO 58.22 0 NA NA NA 3 3 8117
f1w_500 f2_561 PO 58.13 0 NA NA NA 3 3 8119
f0_105 f1h_380 PO 57.62 0 NA NA NA 3 3 8110
f1w_469 f2_924 PO 57.38 0 NA NA NA 3 3 8121
f1h_181 f2_349 PO 57.24 0 NA NA NA 3 3 8130
f1h_1 f2_776 PO 57.22 0 NA NA NA 3 3 8112
f1h_336 f2_581 PO 57.16 0 NA NA NA 3 3 8125
f1h_118 f2_793 PO 57.08 0 NA NA NA 3 3 8118
f0_132 f1h_382 PO 57.05 0 NA NA NA 3 3 8129
f0_174 f1h_56 PO 56.86 0 NA NA NA 3 3 8128
f0_8 f1h_92 PO 56.82 0 NA NA NA 3 3 8118
f0_98 f1h_350 PO 56.79 0 NA NA NA 3 3 8128
f0_198 f1h_208 PO 56.77 0 NA NA NA 3 3 8102
f0_38 f1h_459 PO 56.7 0 NA NA NA 3 3 8112
f0_190 f1h_294 PO 56.64 0 NA NA NA 3 3 8110
f0_94 f1h_462 PO 56.62 0 NA NA NA 3 3 8125
f1h_439 f2_107 PO 56.58 0 NA NA NA 3 3 8128
f0_78 f1h_311 PO 56.37 0 NA NA NA 3 3 8099
f0_88 f1h_451 PO 56.28 0 NA NA NA 3 3 8099
f0_133 f1h_246 PO 56.24 0 NA NA NA 3 3 8139
f1w_190 f2_407 PO 56.24 0 NA NA NA 3 3 8118
f1h_19 f2_508 PO 56.22 0 NA NA NA 3 3 8096
f0_29 f1h_445 PO 56.16 0 NA NA NA 3 3 8115
f0_96 f1h_114 PO 56.12 0 NA NA NA 3 3 8113
f0_188 f1h_27 PO 56.02 0 NA NA NA 3 3 8112
f0_97 f1h_290 PO 56.01 0 NA NA NA 3 3 8114
f1h_345 f2_72 PO 55.95 0 NA NA NA 3 3 8097
f1h_189 f2_586 PO 55.93 0 NA NA NA 3 3 8131
f1w_219 f2_637 PO 55.93 0 NA NA NA 3 3 8130
f0_79 f1h_67 PO 55.92 0 NA NA NA 3 3 8116
f1h_456 f2_288 PO 55.88 0 NA NA NA 3 3 8122
f1h_388 f2_637 PO 55.87 0 NA NA NA 3 3 8133
f1h_2 f2_336 PO 55.8 0 NA NA NA 3 3 8096
f1h_447 f2_25 PO 55.78 0 NA NA NA 3 3 8149
f0_135 f1h_109 PO 55.75 0 NA NA NA 3 3 8109
f1h_262 f2_423 PO 55.59 0 NA NA NA 3 3 8111
f0_25 f1h_264 PO 55.58 0 NA NA NA 3 3 8116
f1h_52 f2_659 PO 55.58 0 NA NA NA 3 3 8111
f1w_160 f2_386 PO 55.56 0 NA NA NA 3 3 8120
f1h_381 f2_87 PO 55.53 0 NA NA NA 3 3 8110
f1h_433 f2_727 PO 55.51 0 NA NA NA 3 3 8130
f1w_102 f2_345 PO 55.42 0 NA NA NA 3 3 8108
f1h_482 f2_599 PO 55.39 0 NA NA NA 3 3 8145
f0_76 f1h_152 PO 55.37 0 NA NA NA 3 3 8131
f0_144 f1h_499 PO 55.37 0 NA NA NA 3 3 8102
f0_18 f1h_236 PO 55.35 0 NA NA NA 3 3 8123
f0_861 f1w_166 PO 55.32 0 NA NA NA 3 3 8135
f1w_341 f2_348 PO 55.31 0 NA NA NA 3 3 8110
f1w_189 f2_456 PO 55.31 0 NA NA NA 3 3 8115
f0_1 f1h_223 PO 55.29 0 NA NA NA 3 3 8111
f1w_12 f2_66 PO 55.22 0 NA NA NA 3 3 8146
f1h_126 f2_651 PO 55.2 0 NA NA NA 3 3 8116
f0_800 f1w_96 PO 55.19 0 NA NA NA 3 3 8123
f1h_181 f2_361 PO 55.19 0 NA NA NA 3 3 8118
f0_163 f1h_468 PO 55.16 0 NA NA NA 3 3 8115
f1w_174 f2_982 PO 55.09 0 NA NA NA 3 3 8146
f0_24 f1h_79 PO 55.07 0 NA NA NA 3 3 8117
f0_7 f1h_150 PO 55.02 0 NA NA NA 3 3 8137
f0_132 f1h_246 PO 54.99 0 NA NA NA 3 3 8150
f0_28 f1h_128 PO 54.91 0 NA NA NA 3 3 8138
f1w_466 f2_697 PO 54.9 0 NA NA NA 3 3 8113
f1w_56 f2_153 PO 54.89 0 NA NA NA 3 3 8114
f0_95 f1h_214 PO 54.82 0 NA NA NA 3 3 8116
f0_6 f1h_315 PO 54.81 0 NA NA NA 3 3 8105
f0_73 f1h_123 PO 54.8 0 NA NA NA 3 3 8125
f0_14 f1h_208 PO 54.78 0 NA NA NA 3 3 8114
f0_108 f1h_9 PO 54.72 0 NA NA NA 3 3 8131
f0_542 f1w_341 PO 54.68 0 NA NA NA 3 3 8128
f1h_437 f2_103 PO 54.67 0 NA NA NA 3 3 8112
f0_193 f1h_303 PO 54.65 0 NA NA NA 3 3 8110
f0_277 f1w_151 PO 54.61 0 NA NA NA 3 3 8126
f0_237 f1w_232 PO 54.61 0 NA NA NA 3 3 8106
f1h_344 f2_840 PO 54.61 0 NA NA NA 3 3 8119
f1h_39 f2_95 PO 54.61 0 NA NA NA 3 3 8113
f1h_481 f2_788 PO 54.57 0 NA NA NA 3 3 8138
f0_605 f1w_33 PO 54.56 0 NA NA NA 3 3 8109
f0_610 f1w_219 PO 54.55 0 NA NA NA 3 3 8127
f1h_71 f2_606 PO 54.52 0 NA NA NA 3 3 8107
f0_76 f1h_344 PO 54.5 0 NA NA NA 3 3 8120
f0_753 f1w_71 PO 54.46 0 NA NA NA 3 3 8118
f0_181 f1h_447 PO 54.45 0 NA NA NA 3 3 8119
f1w_12 f2_937 PO 54.45 0 NA NA NA 3 3 8136
f0_12 f1h_428 PO 54.44 0 NA NA NA 3 3 8106
f1w_169 f2_542 PO 54.44 0 NA NA NA 3 3 8135
f1h_465 f2_117 PO 54.41 0 NA NA NA 3 3 8124
f0_39 f1h_476 PO 54.38 0 NA NA NA 3 3 8102
f1h_222 f2_232 PO 54.36 0 NA NA NA 3 3 8119
f1h_179 f2_243 PO 54.32 0 NA NA NA 3 3 8109
f1h_92 f2_822 PO 54.3 0 NA NA NA 3 3 8114
f1w_325 f2_355 PO 54.29 0 NA NA NA 3 3 8118
f0_142 f1h_465 PO 54.28 0 NA NA NA 3 3 8114
f0_91 f1h_437 PO 54.25 0 NA NA NA 3 3 8116
f0_124 f1h_377 PO 54.24 0 NA NA NA 3 3 8120
f0_173 f1h_179 PO 54.2 0 NA NA NA 3 3 8103
f0_486 f1w_219 PO 54.17 0 NA NA NA 3 3 8113
f1w_352 f2_373 PO 54.17 0 NA NA NA 3 3 8135
f0_361 f1w_197 PO 54.15 0 NA NA NA 3 3 8105
f1w_323 f2_137 PO 54.12 0 NA NA NA 3 3 8105
f1h_189 f2_671 PO 54.11 0 NA NA NA 3 3 8133
f0_182 f1h_382 PO 54.1 0 NA NA NA 3 3 8120
f0_42 f1h_69 PO 54.09 0 NA NA NA 3 3 8142
f0_875 f1w_160 PO 54.09 0 NA NA NA 3 3 8127
f0_195 f1h_233 PO 54.01 0 NA NA NA 3 3 8120
f1w_463 f2_87 PO 54.01 0 NA NA NA 3 3 8128
f0_170 f1h_332 PO 53.99 0 NA NA NA 3 3 8145
f0_814 f1w_224 PO 53.98 0 NA NA NA 3 3 8123
f0_166 f1h_220 PO 53.97 0 NA NA NA 3 3 8116
f0_46 f1h_438 PO 53.96 0 NA NA NA 3 3 8140
f0_133 f1h_255 PO 53.94 0 NA NA NA 3 3 8103
f0_476 f1w_427 PO 53.94 0 NA NA NA 3 3 8118
f1w_27 f2_803 PO 53.94 0 NA NA NA 3 3 8111
f1w_151 f2_831 PO 53.91 0 NA NA NA 3 3 8122
