id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f0_14 f1h_112 f1h_389 0.71 -0.71 1.14 0 0 3 466 464
f0_45 f1h_439 f1h_478 -0.57 0.57 0.48 0 0 3 454 466
f0_145 f1h_300 f1h_326 -2.17 2.17 2.62 0 0 2 459 469
f0_213 f1w_206 f1w_326 0.71 -0.71 1.66 0 0 3 453 456
f1h_1 f0_3 f0_169 1.74 -1.74 8.05 0 0 0 465 479
f1h_2 f0_94 f0_185 2.51 -2.51 6.97 0 0 0 474 461
f1h_3 f0_56 f0_170 2.76 -2.76 8.32 0 0 0 487 482
f1h_4 f0_138 f0_190 0.64 -0.64 10.37 0 0 0 464 451
f1h_5 f0_87 f0_196 2.11 -2.11 8.74 0 0 0 493 491
f1h_6 f0_7 f0_188 -1 1 9.09 0 0 0 463 469
f1h_8 f0_6 f0_190 1.08 -1.08 9.18 0 0 0 449 456
f1h_9 f0_33 f0_76 -3.77 3.77 6.56 0 0 0 472 455
f1h_10 f0_142 f0_182 1.09 -1.09 10.87 0 0 0 482 472
f1h_12 f0_50 f0_152 1.2 -1.2 9.73 0 0 0 473 479
f1h_13 f0_76 f0_81 0 0 9.22 0 0 0 456 464
f1h_14 f0_99 f0_160 -0.19 0.19 9.9 0 0 0 466 463
f1h_15 f0_87 f0_155 1.56 -1.56 8.58 0 0 0 453 438
f1h_16 f0_19 f0_86 -0.65 0.65 8.37 0 0 0 472 468
f1h_17 f0_82 f0_107 0.6 -0.6 9 0 0 0 476 455
f1h_22 f0_2 f0_11 1.24 -1.24 7.08 0 0 0 462 471
f1h_23 f0_112 f0_161 -0.53 0.53 8.52 0 0 0 451 446
f1h_24 f0_105 f0_148 1.48 -1.48 8.33 0 0 0 457 454
f1h_24 f0_148 f2_476 0.66 -0.66 -0.1 0 0 3 454 452
f1h_25 f0_57 f0_155 1.15 -1.15 8.42 0 0 0 470 465
f1h_26 f0_77 f0_184 -0.41 0.41 8.56 0 0 0 463 479
f1h_27 f0_81 f0_111 -0.25 0.25 7.48 0 0 0 460 448
f1h_28 f0_27 f0_194 0.48 -0.48 8.42 0 0 0 448 479
f1h_29 f0_101 f0_158 -0.1 0.1 7.97 0 0 0 460 457
f1h_30 f0_65 f0_80 1.41 -1.41 8.05 0 0 0 475 471
f1h_32 f0_11 f0_47 0.85 -0.85 10.08 0 0 0 475 467
f1h_33 f0_146 f0_158 0.83 -0.83 8.42 0 0 0 458 452
f1h_35 f0_24 f0_115 -1.87 1.87 8.55 0 0 0 459 475
f1h_37 f0_42 f0_174 0.29 -0.29 10.08 0 0 0 473 479
f1h_38 f0_160 f0_168 -1.12 1.12 8.18 0 0 0 460 438
f1h_39 f0_33 f0_118 -1.86 1.86 6.87 0 0 0 474 461
f1h_40 f0_61 f0_139 -1.81 1.81 8.57 0 0 0 471 483
f1h_41 f0_139 f0_142 -0.55 0.55 8.9 0 0 0 483 484
f1h_42 f0_11 f0_111 -2.08 2.08 7.75 0 0 0 471 448
f1h_44 f0_168 f0_170 2.35 -2.35 8.33 0 0 0 462 484
f1h_45 f0_9 f0_166 3.87 -3.87 7.43 0 0 0 471 490
f1h_47 f0_30 f0_80 -1.42 1.42 7.95 0 0 0 445 454
f1h_48 f0_154 f0_171 -1.18 1.18 8.66 0 0 0 459 480
f1h_49 f0_152 f0_176 2.86 -2.86 9.35 0 0 0 472 469
