ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_61 f1h_179 PO 52.76 0 NA NA NA 3 3 6622
f0_105 f1h_380 PO 49.72 0 NA NA NA 3 3 6549
f0_39 f1h_41 PO 49.54 0 NA NA NA 3 3 6654
f1w_500 f2_561 PO 49.51 0 NA NA NA 3 3 6598
f0_174 f1h_56 PO 49.2 0 NA NA NA 3 3 6550
f0_29 f1h_445 PO 48.76 0 NA NA NA 3 3 6648
f0_24 f1h_79 PO 48.75 0 NA NA NA 3 3 6610
f0_190 f1h_294 PO 48.72 0 NA NA NA 3 3 6517
f0_119 f1h_19 PO 48.7 0 NA NA NA 3 3 6539
f1h_262 f2_423 PO 48.7 0 NA NA NA 3 3 6616
f0_166 f1h_425 PO 48.64 0 NA NA NA 3 3 6547
f1h_345 f2_72 PO 48.64 0 NA NA NA 3 3 6524
f0_25 f1h_35 PO 48.24 0 NA NA NA 3 3 6574
f0_184 f1h_296 PO 48.22 0 NA NA NA 3 3 6555
f0_76 f1h_468 PO 48.03 0 NA NA NA 3 3 6627
f0_125 f1h_205 PO 47.85 0 NA NA NA 3 3 6625
f1h_392 f2_305 PO 47.82 0 NA NA NA 3 3 6610
f1h_29 f2_113 PO 47.72 0 NA NA NA 3 3 6587
f1w_189 f2_456 PO 47.67 0 NA NA NA 3 3 6564
f0_38 f1h_459 PO 47.57 0 NA NA NA 3 3 6586
f1w_67 f2_333 PO 47.48 0 NA NA NA 3 3 6570
f0_14 f1h_208 PO 47.08 0 NA NA NA 3 3 6535
f0_167 f1h_453 PO 46.98 0 NA NA NA 3 3 6560
f0_133 f1h_255 PO 46.89 0 NA NA NA 3 3 6551
f1w_369 f2_537 PO 46.84 0 NA NA NA 3 3 6525
f1h_481 f2_788 PO 46.77 0 NA NA NA 3 3 6559
f0_1 f1h_223 PO 46.53 0 NA NA NA 3 3 6564
f0_33 f1h_172 PO 46.51 0 NA NA NA 3 3 6604
f1h_33 f2_889 PO 46.51 0 NA NA NA 3 3 6533
f1w_192 f2_788 PO 46.49 0 NA NA NA 3 3 6545
f0_96 f1h_114 PO 46.48 0 NA NA NA 3 3 6530
f0_198 f1h_208 PO 46.47 0 NA NA NA 3 3 6524
f0_193 f1h_303 PO 46.47 0 NA NA NA 3 3 6600
f0_194 f1h_27 PO 46.46 0 NA NA NA 3 3 6565
f0_195 f1h_233 PO 46.43 0 NA NA NA 3 3 6584
f0_173 f1h_179 PO 46.4 0 NA NA NA 3 3 6656
f1w_341 f2_348 PO 46.38 0 NA NA NA 3 3 6537
f0_7 f1h_150 PO 46.36 0 NA NA NA 3 3 6521
f0_542 f1w_341 PO 46.36 0 NA NA NA 3 3 6549
f0_399 f1w_272 PO 46.27 0 NA NA NA 3 3 6585
f0_944 f1w_489 PO 46.27 0 NA NA NA 3 3 6526
f1h_2 f2_336 PO 46.22 0 NA NA NA 3 3 6572
f0_165 f1h_316 PO 46.21 0 NA NA NA 3 3 6546
f1h_57 f2_150 PO 46.19 0 NA NA NA 3 3 6599
f1w_174 f2_889 PO 46.14 0 NA NA NA 3 3 6592
f0_973 f1w_405 PO 45.95 0 NA NA NA 3 3 6619
f1w_32 f2_878 PO 45.87 0 NA NA NA 3 3 6539
f0_72 f1h_220 PO 45.74 0 NA NA NA 3 3 6548
f0_12 f1h_117 PO 45.73 0 NA NA NA 3 3 6588
f0_18 f1h_236 PO 45.67 0 NA NA NA 3 3 6620
f0_163 f1h_468 PO 45.67 0 NA NA NA 3 3 6626
f1h_260 f2_587 PO 45.67 0 NA NA NA 3 3 6554
f0_60 f1h_192 PO 45.65 0 NA NA NA 3 3 6579
f0_46 f1h_438 PO 45.65 0 NA NA NA 3 3 6610
f0_163 f1h_438 PO 45.64 0 NA NA NA 3 3 6620
f0_159 f1h_233 PO 45.58 0 NA NA NA 3 3 6658
f0_12 f1h_428 PO 45.57 0 NA NA NA 3 3 6530
f0_451 f1w_102 PO 45.56 0 NA NA NA 3 3 6560
f0_225 f1w_338 PO 45.55 0 NA NA NA 3 3 6536
f0_39 f1h_445 PO 45.5 0 NA NA NA 3 3 6675
f0_74 f1h_68 PO 45.42 0 NA NA NA 3 3 6585
f0_238 f1w_4 PO 45.41 0 NA NA NA 3 3 6618
f1h_456 f2_288 PO 45.36 0 NA NA NA 3 3 6594
f1h_179 f2_243 PO 45.33 0 NA NA NA 3 3 6619
f1h_33 f2_760 PO 45.33 0 NA NA NA 3 3 6483
f0_161 f1h_6 PO 45.32 0 NA NA NA 3 3 6562
f0_934 f1w_117 PO 45.28 0 NA NA NA 3 3 6600
f0_613 f1w_336 PO 45.27 0 NA NA NA 3 3 6548
f0_133 f1h_23 PO 45.22 0 NA NA NA 3 3 6582
f0_22 f1h_255 PO 45.22 0 NA NA NA 3 3 6539
f0_142 f1h_352 PO 45.22 0 NA NA NA 3 3 6537
f0_146 f1h_146 PO 45.17 0 NA NA NA 3 3 6606
f0_153 f1h_416 PO 45.16 0 NA NA NA 3 3 6568
f0_696 f1w_330 PO 45.15 0 NA NA NA 3 3 6579
f0_7 f1h_2 PO 45.12 0 NA NA NA 3 3 6549
f0_389 f1w_238 PO 45.07 0 NA NA NA 3 3 6572
f0_188 f1h_27 PO 45.05 0 NA NA NA 3 3 6550
f1w_102 f2_697 PO 45.04 0 NA NA NA 3 3 6603
f0_147 f1h_158 PO 45 0 NA NA NA 3 3 6585
