ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_89 f1h_77 PO 4.81 0 NA NA NA 3 3 457
f0_17 f1h_142 PO 4.39 0 NA NA NA 3 3 427
f1w_348 f2_114 PO 4.23 0 NA NA NA 3 3 438
f0_92 f1h_373 PO 3.97 0 NA NA NA 3 3 466
f0_107 f1h_266 PO 3.93 0 NA NA NA 3 3 455
f0_150 f1h_114 PO 3.84 0 NA NA NA 3 3 476
f0_558 f1w_47 PO 3.81 0 NA NA NA 3 3 468
f0_29 f1h_114 PO 3.8 0 NA NA NA 3 3 460
f1w_378 f2_365 PO 3.8 0 NA NA NA 3 3 448
f1w_41 f2_487 PO 3.79 0 NA NA NA 3 3 440
f0_48 f1h_253 PO 3.74 0 NA NA NA 3 3 458
f0_70 f1h_260 PO 3.7 0 NA NA NA 3 3 463
f0_40 f1h_113 PO 3.69 0 NA NA NA 3 3 454
f1h_333 f2_362 PO 3.69 0 NA NA NA 3 3 439
f1h_322 f2_774 PO 3.63 0 NA NA NA 3 3 433
f0_90 f1h_279 PO 3.6 0 NA NA NA 3 3 450
f0_98 f1h_53 PO 3.6 0 NA NA NA 3 3 443
f0_56 f1h_137 PO 3.56 0 NA NA NA 3 3 453
f1w_282 f2_959 PO 3.56 0 NA NA NA 3 3 477
f0_473 f1w_286 PO 3.55 0 NA NA NA 3 3 465
f0_196 f1h_433 PO 3.51 0 NA NA NA 3 3 458
f0_159 f1h_424 PO 3.48 0 NA NA NA 3 3 426
f1w_287 f2_976 PO 3.47 0 NA NA NA 3 3 449
f0_159 f1h_369 PO 3.46 0 NA NA NA 3 3 441
f0_138 f1h_4 PO 3.46 0 NA NA NA 3 3 436
f0_76 f1h_167 PO 3.45 0 NA NA NA 3 3 460
f1h_60 f2_584 PO 3.45 0 NA NA NA 3 3 464
f0_94 f1h_238 PO 3.44 0 NA NA NA 3 3 478
f1h_142 f2_970 PO 3.43 0 NA NA NA 3 3 454
f1h_90 f2_682 PO 3.41 0 NA NA NA 3 3 429
f0_9 f1h_148 PO 3.38 0 NA NA NA 3 3 433
f1h_378 f2_618 PO 3.38 0 NA NA NA 3 3 440
f1w_362 f2_294 PO 3.37 0 NA NA NA 3 3 447
f1h_258 f2_341 PO 3.37 0 NA NA NA 3 3 465
f0_170 f1h_52 PO 3.35 0 NA NA NA 3 3 440
f1h_90 f2_916 PO 3.3 0 NA NA NA 3 3 443
f0_32 f1h_425 PO 3.29 0 NA NA NA 3 3 434
f0_155 f1h_366 PO 3.28 0 NA NA NA 3 3 440
f0_179 f1h_416 PO 3.27 0 NA NA NA 3 3 435
f0_20 f1h_222 PO 3.23 0 NA NA NA 3 3 445
f0_114 f1h_62 PO 3.23 0 NA NA NA 3 3 443
f0_41 f1h_84 PO 3.22 0 NA NA NA 3 3 438
f1h_424 f2_192 PO 3.22 0 NA NA NA 3 3 432
f1h_100 f2_126 PO 3.21 0 NA NA NA 3 3 423
f1h_343 f2_419 PO 3.21 0 NA NA NA 3 3 447
f0_140 f1h_142 PO 3.2 0 NA NA NA 3 3 436
f0_19 f1h_483 PO 3.2 0 NA NA NA 3 3 452
f0_463 f1w_64 PO 3.2 0 NA NA NA 3 3 459
f0_40 f1h_495 PO 3.19 0 NA NA NA 3 3 470
f0_198 f1h_212 PO 3.18 0 NA NA NA 3 3 436
f0_101 f1h_90 PO 3.18 0 NA NA NA 3 3 426
f0_80 f1h_97 PO 3.18 0 NA NA NA 3 3 457
f0_863 f1w_107 PO 3.18 0 NA NA NA 3 3 453
f0_37 f1h_79 PO 3.17 0 NA NA NA 3 3 450
f0_74 f1h_403 PO 3.16 0 NA NA NA 3 3 422
f1w_290 f2_956 PO 3.16 0 NA NA NA 3 3 455
f1w_234 f2_50 PO 3.15 0 NA NA NA 3 3 428
f0_182 f1h_343 PO 3.14 0 NA NA NA 3 3 460
f0_162 f1h_275 PO 3.13 0 NA NA NA 3 3 432
f0_91 f1h_100 PO 3.12 0 NA NA NA 3 3 421
f0_94 f1h_346 PO 3.12 0 NA NA NA 3 3 450
f0_115 f1h_35 PO 3.11 0 NA NA NA 3 3 456
f0_54 f1h_472 PO 3.11 0 NA NA NA 3 3 439
f0_341 f1w_279 PO 3.11 0 NA NA NA 3 3 473
f0_30 f1h_333 PO 3.1 0 NA NA NA 3 3 441
f0_74 f1h_102 PO 3.07 0 NA NA NA 3 3 434
f1h_5 f2_763 PO 3.07 0 NA NA NA 3 3 442
f0_61 f1h_402 PO 3.06 0 NA NA NA 3 3 445
f0_44 f1h_52 PO 3.06 0 NA NA NA 3 3 445
f0_118 f1h_60 PO 3.06 0 NA NA NA 3 3 439
f0_439 f1w_345 PO 3.06 0 NA NA NA 3 3 458
f1w_38 f2_781 PO 3.06 0 NA NA NA 3 3 448
f0_868 f1w_461 PO 3.05 0 NA NA NA 3 3 468
f1h_148 f2_147 PO 3.04 0 NA NA NA 3 3 435
f0_198 f1h_113 PO 3.01 0 NA NA NA 3 3 439
f0_873 f1w_362 PO 3 0 NA NA NA 3 3 416
f0_502 f1w_368 PO 3 0 NA NA NA 3 3 423
f0_65 f1h_197 PO 2.99 0 NA NA NA 3 3 474
f0_10 f1h_282 PO 2.99 0 NA NA NA 3 3 450
f1w_481 f2_399 PO 2.99 0 NA NA NA 3 3 444
f0_151 f1h_266 PO 2.98 0 NA NA NA 3 3 466
f0_135 f1h_404 PO 2.98 0 NA NA NA 3 3 455
f1h_322 f2_187 PO 2.98 0 NA NA NA 3 3 432
f1h_149 f2_203 PO 2.98 0 NA NA NA 3 3 409
f0_2 f1h_186 PO 2.97 0 NA NA NA 3 3 444
f0_154 f1h_395 PO 2.97 0 NA NA NA 3 3 444
f0_76 f1h_138 PO 2.96 0 NA NA NA 3 3 428
f0_174 f1h_376 PO 2.94 0 NA NA NA 3 3 434
f1w_282 f2_954 PO 2.94 0 NA NA NA 3 3 449
