ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_869 f1w_403 PO 27.75 0 NA NA NA 3 3 3358
f0_158 f1h_476 PO 27.29 0 NA NA NA 3 3 3417
f0_42 f1h_475 PO 26.95 0 NA NA NA 3 3 3410
f1w_408 f2_466 PO 26.95 0 NA NA NA 3 3 3355
f1h_141 f2_967 PO 26.83 0 NA NA NA 3 3 3359
f1w_129 f2_567 PO 26.44 0 NA NA NA 3 3 3444
f1w_82 f2_192 PO 26.41 0 NA NA NA 3 3 3415
f1w_364 f2_75 PO 26.37 0 NA NA NA 3 3 3383
f0_171 f1h_256 PO 26.3 0 NA NA NA 3 3 3372
f1h_342 f2_147 PO 26.29 0 NA NA NA 3 3 3365
f1w_379 f2_201 PO 26.26 0 NA NA NA 3 3 3433
f1h_157 f2_31 PO 26.07 0 NA NA NA 3 3 3404
f1w_492 f2_38 PO 26.05 0 NA NA NA 3 3 3396
f0_191 f1h_226 PO 26.04 0 NA NA NA 3 3 3397
f1w_340 f2_66 PO 26.03 0 NA NA NA 3 3 3348
f0_190 f1h_169 PO 26.02 0 NA NA NA 3 3 3400
f0_558 f1w_105 PO 26.01 0 NA NA NA 3 3 3400
f1w_426 f2_124 PO 25.99 0 NA NA NA 3 3 3381
f0_126 f1h_198 PO 25.86 0 NA NA NA 3 3 3422
f0_976 f1w_284 PO 25.81 0 NA NA NA 3 3 3389
f1w_462 f2_11 PO 25.81 0 NA NA NA 3 3 3369
f1h_416 f2_313 PO 25.71 0 NA NA NA 3 3 3373
f0_486 f1w_208 PO 25.7 0 NA NA NA 3 3 3358
f1h_300 f2_225 PO 25.69 0 NA NA NA 3 3 3398
f1w_61 f2_134 PO 25.61 0 NA NA NA 3 3 3376
f1h_153 f2_462 PO 25.61 0 NA NA NA 3 3 3375
f0_119 f1h_374 PO 25.58 0 NA NA NA 3 3 3368
f0_80 f1h_231 PO 25.53 0 NA NA NA 3 3 3358
f1w_413 f2_352 PO 25.53 0 NA NA NA 3 3 3441
f0_83 f1h_391 PO 25.52 0 NA NA NA 3 3 3336
f0_274 f1w_393 PO 25.51 0 NA NA NA 3 3 3388
f0_82 f1h_481 PO 25.5 0 NA NA NA 3 3 3364
f1h_24 f2_902 PO 25.49 0 NA NA NA 3 3 3385
f0_572 f1w_476 PO 25.47 0 NA NA NA 3 3 3356
f1w_272 f2_128 PO 25.46 0 NA NA NA 3 3 3411
f1h_3 f2_121 PO 25.43 0 NA NA NA 3 3 3381
f1h_256 f2_595 PO 25.42 0 NA NA NA 3 3 3354
f1h_410 f2_678 PO 25.38 0 NA NA NA 3 3 3357
f1h_170 f2_591 PO 25.35 0 NA NA NA 3 3 3343
