id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_3 f0_131 f0_156 -0.39 0.39 6.88 0 0 0 316 322
f1h_7 f0_50 f0_167 -2.2 2.2 4.23 0 0 0 324 315
f1h_9 f0_142 f0_151 -1.28 1.28 6.63 0 0 0 330 328
f1h_10 f0_40 f0_115 -2.48 2.48 5.21 0 0 0 313 310
f1h_15 f0_57 f0_75 1.11 -1.11 5.81 0 0 0 309 315
f1h_27 f0_86 f0_148 -0.81 0.81 6.8 0 0 0 320 324
f1h_31 f0_148 f0_193 0.48 -0.48 6.47 0 0 0 321 318
f1h_40 f0_63 f0_77 0.42 -0.42 6.67 0 0 0 311 304
f1h_54 f0_67 f0_68 0.34 -0.34 5.31 0 0 0 313 322
f1h_59 f0_73 f0_78 0.24 -0.24 6.87 0 0 0 313 316
f1h_62 f0_126 f0_150 0.29 -0.29 5.51 0 0 0 329 321
f1h_64 f0_2 f0_34 -2.31 2.31 5.96 0 0 0 319 320
f1h_65 f0_5 f0_21 1.98 -1.98 5.61 0 0 0 311 317
f1h_70 f0_115 f0_119 -0.4 0.4 6.89 0 0 0 317 316
f1h_71 f0_139 f0_181 1.21 -1.21 7.45 0 0 0 310 313
f1h_72 f0_85 f0_106 0.33 -0.33 5.35 0 0 0 315 309
f1h_73 f0_67 f0_108 -1.35 1.35 5.31 0 0 0 301 311
f1h_75 f0_45 f0_161 0.2 -0.2 6.38 0 0 0 317 321
f1h_88 f0_41 f0_52 2.35 -2.35 4.59 0 0 0 316 313
f1h_90 f0_105 f0_118 -1.52 1.52 5.9 0 0 0 315 321
f1h_95 f0_75 f0_183 0.71 -0.71 6.27 0 0 0 315 319
f1h_99 f0_138 f0_172 -1.41 1.41 5.63 0 0 0 317 313
f1h_102 f0_8 f0_165 2.59 -2.59 5.12 0 0 0 319 312
f1h_103 f0_100 f0_176 0.48 -0.48 6.03 0 0 0 324 328
f1h_105 f0_179 f0_200 -1.95 1.95 6.23 0 0 0 322 321
f1h_107 f0_21 f0_50 -1.07 1.07 5.09 0 0 0 318 320
f1h_115 f0_3 f0_103 2.67 -2.67 5.36 0 0 0 322 327
f1h_119 f0_1 f0_33 -2.45 2.45 5.47 0 0 0 325 335
f1h_122 f0_3 f0_80 1.15 -1.15 5.57 0 0 0 325 315
