id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_1 f0_104 f0_111 -9.34 9.34 91.94 0 0 0 4640 4657
f1h_2 f0_7 f0_143 2.88 -2.88 97.29 0 0 0 4639 4607
f1h_3 f0_11 f0_58 17.66 -17.66 88.54 0 0 0 4723 4723
f1h_4 f0_66 f0_136 2.04 -2.04 93.94 0 0 0 4663 4634
f1h_6 f0_8 f0_161 2.04 -2.04 93.54 0 0 0 4674 4662
f1h_9 f0_108 f0_198 -4.14 4.14 97.93 0 0 0 4714 4706
f1h_10 f0_110 f0_172 5.58 -5.58 92.94 0 0 0 4655 4718
f1h_13 f0_14 f0_51 -8.57 8.57 93.44 0 0 0 4721 4698
f1h_16 f0_13 f0_87 0.12 -0.12 100.03 0 0 0 4681 4674
f1h_17 f0_76 f0_176 -8.55 8.55 96.62 0 0 0 4608 4644
f1h_19 f0_4 f0_119 -5.51 5.51 91.17 0 0 0 4612 4591
f1h_21 f0_2 f0_184 3.01 -3.01 90.07 0 0 0 4664 4676
f1h_23 f0_87 f0_133 1.57 -1.57 101.58 0 0 0 4702 4650
f1h_24 f0_149 f0_156 -5.84 5.84 98.8 0 0 0 4639 4692
f1h_25 f0_61 f0_96 -10.88 10.88 86.14 0 0 0 4660 4660
f1h_26 f0_7 f0_77 -2.5 2.5 98.97 0 0 0 4688 4688
f1h_27 f0_188 f0_194 -4.14 4.14 93.06 0 0 0 4657 4763
f1h_29 f0_22 f0_142 -3.16 3.16 97.37 0 0 0 4661 4604
f1h_30 f0_14 f0_61 -0.37 0.37 96.18 0 0 0 4639 4573
f1h_32 f0_16 f0_41 5.61 -5.61 92.98 0 0 0 4683 4677
f1h_33 f0_110 f0_165 -2.98 2.98 90.28 0 0 0 4626 4623
f1h_34 f0_153 f0_168 -3.75 3.75 89.99 0 0 0 4711 4730
f1h_35 f0_25 f0_47 6.96 -6.96 96.17 0 0 0 4626 4639
f1h_37 f0_37 f0_55 2.83 -2.83 92.98 0 0 0 4662 4712
f1h_38 f0_2 f0_182 -0.52 0.52 98.04 0 0 0 4741 4722
f1h_39 f0_75 f0_142 -3.01 3.01 92.38 0 0 0 4640 4592
f1h_41 f0_39 f0_168 0.36 -0.36 100.51 0 0 0 4670 4666
f1h_43 f0_48 f0_65 8.21 -8.21 86.87 0 0 0 4619 4659
f1h_44 f0_89 f0_160 -6.27 6.27 92.01 0 0 0 4629 4651
f1h_46 f0_88 f0_159 0.52 -0.52 94.07 0 0 0 4680 4640
