id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_1 f0_136 f0_143 0.91 -0.91 73.55 0 0 0 3318 3311
f1h_2 f0_13 f0_29 0.05 -0.05 74.03 0 0 0 3347 3393
f1h_3 f0_10 f0_140 2.47 -2.47 74.39 0 0 0 3362 3383
f1h_4 f0_7 f0_35 0.42 -0.42 70.46 0 0 0 3369 3355
f1h_7 f0_162 f0_176 1.04 -1.04 67.42 0 0 0 3373 3366
f1h_9 f0_3 f0_36 1.26 -1.26 68.18 0 0 0 3349 3362
f1h_10 f0_72 f0_165 -2.15 2.15 74.86 0 0 0 3407 3392
f1h_11 f0_14 f0_34 -4.57 4.57 73.8 0 0 0 3372 3381
f1h_15 f0_62 f0_141 8.01 -8.01 69.62 0 0 0 3373 3345
f1h_16 f0_27 f0_107 3.3 -3.3 77.17 0 0 0 3405 3355
f1h_17 f0_76 f0_176 -4.56 4.56 65.26 0 0 0 3368 3345
f1h_18 f0_1 f0_6 -10.89 10.89 65.05 0 0 0 3341 3359
f1h_19 f0_68 f0_153 -1 1 72.56 0 0 0 3396 3375
f1h_23 f0_15 f0_37 -0.54 0.54 76.79 0 0 0 3352 3326
f1h_24 f0_28 f0_89 -3.25 3.25 70.36 0 0 0 3367 3357
f1h_25 f0_68 f0_137 4.61 -4.61 74.72 0 0 0 3395 3378
f1h_26 f0_6 f0_171 5.9 -5.9 69.09 0 0 0 3377 3376
f1h_29 f0_144 f0_186 -2.01 2.01 72.13 0 0 0 3326 3320
f1h_32 f0_16 f0_86 -2.37 2.37 72.77 0 0 0 3358 3335
f1h_33 f0_41 f0_135 -0.57 0.57 77.86 0 0 0 3386 3389
f1h_35 f0_48 f0_163 0.05 -0.05 78.55 0 0 0 3370 3376
f1h_37 f0_11 f0_137 -0.32 0.32 73.4 0 0 0 3340 3368
f1h_41 f0_24 f0_192 -2.54 2.54 74.9 0 0 0 3339 3346
f1h_43 f0_120 f0_148 6.18 -6.18 70.63 0 0 0 3374 3363
f1h_46 f0_40 f0_175 -8.66 8.66 72.39 0 0 0 3362 3384
f1h_48 f0_38 f0_71 -5.56 5.56 73.71 0 0 0 3380 3351
f1h_50 f0_78 f0_113 10.46 -10.46 69.44 0 0 0 3381 3348
f1h_51 f0_14 f0_62 -14.89 14.89 66.42 0 0 0 3412 3399
f1h_53 f0_95 f0_100 3.14 -3.14 72.8 0 0 0 3389 3356
f1h_55 f0_56 f0_75 4.98 -4.98 72.14 0 0 0 3370 3387
f1h_56 f0_47 f0_57 -7.13 7.13 72.5 0 0 0 3341 3344
f1h_57 f0_8 f0_166 -0.59 0.59 70.52 0 0 0 3343 3327
