id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_1 f0_32 f0_145 1.37 -1.37 6.37 0 0 0 355 362
f1h_2 f0_88 f0_192 -1.17 1.17 6.57 0 0 0 375 370
f1h_3 f0_131 f0_156 -1.34 1.34 6.92 0 0 0 373 372
f1h_4 f0_10 f0_148 0.52 -0.52 7.79 0 0 0 370 366
f1h_5 f0_23 f0_110 -1.87 1.87 4.2 0 0 0 364 369
f1h_6 f0_72 f0_90 1.72 -1.72 8.21 0 0 0 361 372
f1h_7 f0_50 f0_167 -1.89 1.89 5.18 0 0 0 367 356
f1h_8 f0_117 f0_161 -1.2 1.2 7.03 0 0 0 369 366
f1h_9 f0_142 f0_151 -0.71 0.71 6.94 0 0 0 371 365
f1h_10 f0_40 f0_115 -2.32 2.32 6.25 0 0 0 365 363
f1h_11 f0_143 f0_183 1.74 -1.74 8.09 0 0 0 375 369
f1h_15 f0_57 f0_75 0.14 -0.14 7.47 0 0 0 364 368
f1h_17 f0_41 f0_93 1.23 -1.23 6.25 0 0 0 355 366
f1h_18 f0_111 f0_182 -0.51 0.51 8.6 0 0 0 361 366
f1h_21 f0_43 f0_199 0.22 -0.22 7.43 0 0 0 371 374
f1h_24 f0_28 f0_43 0.26 -0.26 8.02 0 0 0 360 365
f1h_25 f0_25 f0_92 2.69 -2.69 8.97 0 0 0 367 372
f1h_26 f0_31 f0_56 -2.14 2.14 5.75 0 0 0 360 362
f1h_27 f0_86 f0_148 -0.4 0.4 8.35 0 0 0 362 365
f1h_28 f0_88 f0_154 -0.62 0.62 6.59 0 0 0 377 372
f1h_31 f0_148 f0_193 -0.27 0.27 7.66 0 0 0 377 378
f1h_33 f0_144 f0_166 -1.51 1.51 6.52 0 0 0 361 356
f1h_34 f0_87 f0_167 0.04 -0.04 8.04 0 0 0 358 353
f1h_35 f0_62 f0_77 3.71 -3.71 5.89 0 0 0 359 365
f1h_40 f0_63 f0_77 0.49 -0.49 9.03 0 0 0 361 365
f1h_41 f0_38 f0_128 0.69 -0.69 6.7 0 0 0 371 361
f1h_45 f0_107 f0_195 -1.34 1.34 6.97 0 0 0 360 369
f1h_46 f0_60 f0_163 1.66 -1.66 6.52 0 0 0 379 364
f1h_47 f0_96 f0_200 -0.27 0.27 7.33 0 0 0 360 358
f1h_49 f0_7 f0_88 -0.8 0.8 7.48 0 0 0 365 371
f1h_52 f0_12 f0_118 0.18 -0.18 7.47 0 0 0 362 367
f1h_54 f0_67 f0_68 1.86 -1.86 4.6 0 0 0 361 369
f1h_55 f0_18 f0_66 -0.33 0.33 7.79 0 0 0 367 367
f1h_56 f0_54 f0_164 -1.38 1.38 6.25 0 0 0 354 361
f1h_57 f0_109 f0_158 -0.15 0.15 7 0 0 0 373 363
f1h_59 f0_73 f0_78 0.63 -0.63 6.64 0 0 0 366 364
f1h_61 f0_122 f0_131 -1.53 1.53 7.66 0 0 0 366 377
f1h_62 f0_126 f0_150 0.8 -0.8 5.86 0 0 0 367 366
f1h_64 f0_2 f0_34 -2.78 2.78 6.29 0 0 0 371 375
f1h_65 f0_5 f0_21 0.85 -0.85 7.76 0 0 0 374 366
f1h_66 f0_68 f0_97 0.36 -0.36 8.29 0 0 0 373 378
f1h_67 f0_100 f0_136 0.83 -0.83 7.8 0 0 0 369 369
f1h_68 f0_97 f0_145 -1.59 1.59 6.88 0 0 0 374 370
f1h_69 f0_12 f0_66 0.19 -0.19 8.28 0 0 0 358 361
f1h_70 f0_115 f0_119 -1.13 1.13 7.39 0 0 0 363 360
f1h_71 f0_139 f0_181 -0.7 0.7 8.46 0 0 0 357 360
f1h_72 f0_85 f0_106 0.88 -0.88 6.7 0 0 0 363 369
f1h_73 f0_67 f0_108 -0.39 0.39 7.21 0 0 0 363 377
f1h_74 f0_18 f0_155 -2.39 2.39 5.9 0 0 0 354 357
f1h_75 f0_45 f0_161 0.91 -0.91 7.08 0 0 0 363 362
f1h_77 f0_23 f0_109 -0.87 0.87 6.91 0 0 0 361 366
f1h_78 f0_93 f0_126 0.33 -0.33 8.23 0 0 0 377 373
f1h_81 f0_163 f0_189 1.02 -1.02 5.95 0 0 0 354 362
f1h_83 f0_5 f0_91 1.35 -1.35 7.07 0 0 0 371 371
f1h_87 f0_56 f0_116 0.87 -0.87 6.25 0 0 0 370 370
f1h_88 f0_41 f0_52 0.91 -0.91 7.04 0 0 0 360 358
f1h_90 f0_105 f0_118 -1.2 1.2 6.64 0 0 0 363 362
