ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_61 f1h_179 PO 56.02 0 NA NA NA 3 3 7438
f0_73 f1h_118 PO 55.77 0 NA NA NA 3 3 7457
f0_174 f1h_469 PO 55.23 0 NA NA NA 3 3 7469
f0_119 f1h_19 PO 54.98 0 NA NA NA 3 3 7460
f0_39 f1h_41 PO 54.85 0 NA NA NA 3 3 7525
f0_94 f1h_484 PO 54.41 0 NA NA NA 3 3 7460
f1h_118 f2_793 PO 54.17 0 NA NA NA 3 3 7476
f1h_439 f2_107 PO 54.12 0 NA NA NA 3 3 7448
f0_861 f1w_166 PO 54.11 0 NA NA NA 3 3 7485
f0_105 f1h_380 PO 53.43 0 NA NA NA 3 3 7493
f0_79 f1h_67 PO 53.42 0 NA NA NA 3 3 7458
f0_94 f1h_462 PO 53.34 0 NA NA NA 3 3 7502
f0_190 f1h_294 PO 53.21 0 NA NA NA 3 3 7464
f0_132 f1h_382 PO 53 0 NA NA NA 3 3 7507
f0_78 f1h_311 PO 52.96 0 NA NA NA 3 3 7454
f0_166 f1h_425 PO 52.93 0 NA NA NA 3 3 7472
f1h_336 f2_581 PO 52.85 0 NA NA NA 3 3 7488
f1h_39 f2_95 PO 52.85 0 NA NA NA 3 3 7453
f0_98 f1h_350 PO 52.82 0 NA NA NA 3 3 7465
f0_96 f1h_114 PO 52.8 0 NA NA NA 3 3 7436
f1h_345 f2_72 PO 52.77 0 NA NA NA 3 3 7467
f0_76 f1h_152 PO 52.67 0 NA NA NA 3 3 7500
f1w_469 f2_924 PO 52.66 0 NA NA NA 3 3 7496
f0_7 f1h_150 PO 52.55 0 NA NA NA 3 3 7497
f0_8 f1h_92 PO 52.49 0 NA NA NA 3 3 7442
f1h_189 f2_586 PO 52.48 0 NA NA NA 3 3 7436
f0_193 f1h_303 PO 52.42 0 NA NA NA 3 3 7440
f1h_388 f2_637 PO 52.34 0 NA NA NA 3 3 7490
f1h_433 f2_727 PO 52.34 0 NA NA NA 3 3 7439
f0_174 f1h_56 PO 52.33 0 NA NA NA 3 3 7508
