id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f0_14 f1h_112 f1h_389 -0.05 0.05 1.18 0 0 3 441 453
f0_155 f1h_389 f1h_433 -1.2 1.2 1.11 0 0 3 476 470
f0_480 f1w_180 f1w_234 -2.45 2.45 6.37 0 0 1 460 465
f1h_2 f0_94 f0_185 1 -1 8.3 0 0 0 460 443
f1h_4 f0_138 f0_190 1.05 -1.05 9.55 0 0 0 462 464
f1h_5 f0_87 f0_196 2.31 -2.31 5.54 0 0 0 449 457
f1h_6 f0_7 f0_188 -0.8 0.8 9.97 0 0 0 457 449
f1h_13 f0_76 f0_81 -0.46 0.46 9.93 0 0 0 479 463
f1h_15 f0_87 f0_155 1.23 -1.23 8.66 0 0 0 459 450
f1h_23 f0_112 f0_161 -1.1 1.1 9.47 0 0 0 447 453
f1h_26 f0_77 f0_184 -0.01 0.01 8.65 0 0 0 435 460
f1h_30 f0_65 f0_80 0.45 -0.45 7.22 0 0 0 462 450
f1h_35 f0_24 f0_115 -2.05 2.05 7.07 0 0 0 436 470
f1h_40 f0_61 f0_139 1.78 -1.78 7.34 0 0 0 465 456
f1h_42 f0_11 f0_111 0.15 -0.15 8.79 0 0 0 446 436
f1h_47 f0_30 f0_80 0.36 -0.36 8.47 0 0 0 457 458
f1h_48 f0_154 f0_171 -1.5 1.5 8.41 0 0 0 455 468
f1h_49 f0_152 f0_176 3.47 -3.47 7.88 0 0 0 458 470
f1h_52 f0_44 f0_170 2.29 -2.29 7.3 0 0 0 451 449
f1h_53 f0_98 f0_143 -0.74 0.74 7.78 0 0 0 461 461
f1h_56 f0_143 f0_183 -0.59 0.59 10.01 0 0 0 447 479
f1h_57 f0_35 f0_46 -0.67 0.67 8.63 0 0 0 464 467
f1h_60 f0_98 f0_118 -1.12 1.12 11.58 0 0 0 474 484
f1h_62 f0_65 f0_114 -2.82 2.82 7.24 0 0 0 467 459
f1h_65 f0_28 f0_197 -0.69 0.69 7.85 0 0 0 431 436
f1h_68 f0_25 f0_195 1.08 -1.08 7.2 0 0 0 455 457
f1h_69 f0_136 f0_175 1.46 -1.46 8.4 0 0 0 443 438
f1h_74 f0_49 f0_149 -1.61 1.61 8.45 0 0 0 448 456
f1h_75 f0_20 f0_55 -1.63 1.63 7.96 0 0 0 472 457
f1h_77 f0_89 f0_138 -1.05 1.05 9.87 0 0 0 471 483
f1h_78 f0_30 f0_78 0.4 -0.4 9.76 0 0 0 450 466
