"nloci","wild_samp","missing_data","generation","TP","FP","n_assignments"
10000,0.6,0.25,"f1w",1690,0,1690
100,0.8,0.25,"f1w",609,16471,17080
500,0.8,0.25,"f1w",2708,132,2840
1000,0.8,0.25,"f1w",2745,4,2749
5000,0.8,0.25,"f1w",2674,0,2674
10000,0.8,0.25,"f1w",2715,0,2715
100,1,0.25,"f1w",769,20231,21000
500,1,0.25,"f1w",3936,206,4142
1000,1,0.25,"f1w",3998,3,4001
5000,1,0.25,"f1w",4000,0,4000
10000,1,0.25,"f1w",4000,0,4000
100,0.2,0.5,"f1w",NA,NA,NA
500,0.2,0.5,"f1w",NA,NA,NA
1000,0.2,0.5,"f1w",NA,NA,NA
5000,0.2,0.5,"f1w",NA,NA,NA
10000,0.2,0.5,"f1w",NA,NA,NA
100,0.4,0.5,"f1w",NA,NA,NA
500,0.4,0.5,"f1w",NA,NA,NA
1000,0.4,0.5,"f1w",NA,NA,NA
5000,0.4,0.5,"f1w",NA,NA,NA
10000,0.4,0.5,"f1w",NA,NA,NA
100,0.6,0.5,"f1w",NA,NA,NA
500,0.6,0.5,"f1w",NA,NA,NA
1000,0.6,0.5,"f1w",NA,NA,NA
5000,0.6,0.5,"f1w",NA,NA,NA
10000,0.6,0.5,"f1w",NA,NA,NA
100,0.8,0.5,"f1w",NA,NA,NA
500,0.8,0.5,"f1w",NA,NA,NA
1000,0.8,0.5,"f1w",NA,NA,NA
5000,0.8,0.5,"f1w",NA,NA,NA
10000,0.8,0.5,"f1w",NA,NA,NA
100,1,0.5,"f1w",0,1,1
500,1,0.5,"f1w",NA,NA,NA
1000,1,0.5,"f1w",NA,NA,NA
5000,1,0.5,"f1w",NA,NA,NA
10000,1,0.5,"f1w",NA,NA,NA
100,0.2,0.01,"f2",284,2140,2424
500,0.2,0.01,"f2",322,2,324
1000,0.2,0.01,"f2",334,0,334
5000,0.2,0.01,"f2",290,0,290
10000,0.2,0.01,"f2",345,0,345
100,0.4,0.01,"f2",781,6379,7160
500,0.4,0.01,"f2",898,4,902
1000,0.4,0.01,"f2",880,0,880
5000,0.4,0.01,"f2",832,0,832
10000,0.4,0.01,"f2",887,0,887
100,0.6,0.01,"f2",1529,11631,13160
500,0.6,0.01,"f2",1670,6,1676
1000,0.6,0.01,"f2",1714,0,1714
5000,0.6,0.01,"f2",1620,0,1620
10000,0.6,0.01,"f2",1690,0,1690
100,0.8,0.01,"f2",1774,15306,17080
500,0.8,0.01,"f2",2750,11,2761
1000,0.8,0.01,"f2",2745,0,2745
5000,0.8,0.01,"f2",2674,0,2674
10000,0.8,0.01,"f2",2715,0,2715
100,1,0.01,"f2",1950,19050,21000
500,1,0.01,"f2",3998,17,4015
1000,1,0.01,"f2",4000,0,4000
5000,1,0.01,"f2",4000,0,4000
10000,1,0.01,"f2",4000,0,4000
100,0.2,0.05,"f2",282,2761,3043
500,0.2,0.05,"f2",322,3,325
1000,0.2,0.05,"f2",334,0,334
5000,0.2,0.05,"f2",290,0,290
10000,0.2,0.05,"f2",345,0,345
100,0.4,0.05,"f2",775,8402,9177
500,0.4,0.05,"f2",896,4,900
1000,0.4,0.05,"f2",880,0,880
5000,0.4,0.05,"f2",832,0,832
10000,0.4,0.05,"f2",887,0,887
100,0.6,0.05,"f2",1098,12062,13160
500,0.6,0.05,"f2",1670,9,1679
1000,0.6,0.05,"f2",1714,1,1715
5000,0.6,0.05,"f2",1620,0,1620
10000,0.6,0.05,"f2",1690,0,1690
100,0.8,0.05,"f2",1273,15807,17080
500,0.8,0.05,"f2",2748,16,2764
1000,0.8,0.05,"f2",2745,0,2745
5000,0.8,0.05,"f2",2674,0,2674
10000,0.8,0.05,"f2",2715,0,2715
100,1,0.05,"f2",1541,19459,21000
500,1,0.05,"f2",3997,17,4014
1000,1,0.05,"f2",4000,0,4000
