id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_2 f0_13 f0_29 -3.1 3.1 46.19 0 0 0 2222 2220
f1h_4 f0_7 f0_35 -2.1 2.1 46.66 0 0 0 2260 2277
f1h_9 f0_3 f0_36 -2.17 2.17 41.83 0 0 0 2251 2284
f1h_10 f0_72 f0_165 -4.01 4.01 49.45 0 0 0 2246 2226
f1h_25 f0_68 f0_137 3.59 -3.59 46.32 0 0 0 2204 2271
f1h_29 f0_144 f0_186 -2.7 2.7 43.4 0 0 0 2187 2188
f1h_35 f0_48 f0_163 -4.05 4.05 50.25 0 0 0 2284 2238
f1h_43 f0_120 f0_148 10.58 -10.58 43.09 0 0 0 2214 2270
f1h_60 f0_133 f0_162 -7.49 7.49 42.01 0 0 0 2258 2259
f1h_70 f0_121 f0_183 0.46 -0.46 45.28 0 0 0 2202 2252
f1h_71 f0_24 f0_178 -0.98 0.98 49.65 0 0 0 2268 2294
f1h_72 f0_102 f0_119 4.79 -4.79 36.96 0 0 0 2221 2185
f1h_73 f0_65 f0_99 3.57 -3.57 45.28 0 0 0 2229 2203
f1h_81 f0_12 f0_28 -0.42 0.42 50.43 0 0 0 2248 2230
f1h_91 f0_73 f0_126 4.82 -4.82 48.14 0 0 0 2291 2290
f1h_100 f0_14 f0_85 -0.62 0.62 47.51 0 0 0 2274 2243
f1h_103 f0_21 f0_135 -8.64 8.64 41.18 0 0 0 2253 2233
f1h_106 f0_98 f0_106 -5.56 5.56 45.32 0 0 0 2248 2228
f1h_107 f0_160 f0_181 -7.06 7.06 44.32 0 0 0 2257 2192
f1h_111 f0_68 f0_157 -2.21 2.21 50.35 0 0 0 2251 2277
f1h_122 f0_25 f0_141 2.28 -2.28 46.62 0 0 0 2230 2237
f1h_125 f0_139 f0_152 1.41 -1.41 45.19 0 0 0 2213 2279
f1h_130 f0_22 f0_159 -1.72 1.72 47.63 0 0 0 2217 2258
f1h_136 f0_38 f0_73 0.41 -0.41 45.02 0 0 0 2250 2298
f1h_139 f0_11 f0_69 3.15 -3.15 42.85 0 0 0 2288 2241
f1h_150 f0_28 f0_50 -6.79 6.79 45.64 0 0 0 2260 2277
f1h_156 f0_20 f0_48 3.93 -3.93 47.15 0 0 0 2236 2254
f1h_157 f0_39 f0_163 3.46 -3.46 48.51 0 0 0 2295 2247
f1h_169 f0_59 f0_190 -5.62 5.62 47.83 0 0 0 2229 2221
f1h_175 f0_15 f0_65 -0.83 0.83 46.66 0 0 0 2229 2181
f1h_180 f0_8 f0_25 -2.31 2.31 42.28 0 0 0 2249 2236
f1h_186 f0_90 f0_154 -14.1 14.1 40.37 0 0 0 2244 2191
f1h_190 f0_82 f0_94 -2.15 2.15 44.73 0 0 0 2216 2234
f1h_191 f0_75 f0_200 -2.58 2.58 47.48 0 0 0 2273 2285
f1h_202 f0_105 f0_178 -1.45 1.45 44.95 0 0 0 2235 2261
f1h_209 f0_62 f0_139 4.74 -4.74 41.81 0 0 0 2271 2229
f1h_211 f0_66 f0_143 -1.03 1.03 51.14 0 0 0 2294 2303
f1h_219 f0_25 f0_172 6.28 -6.28 45.07 0 0 0 2209 2269
f1h_221 f0_131 f0_154 4.58 -4.58 42.36 0 0 0 2221 2155
f1h_223 f0_89 f0_140 -4.75 4.75 44.57 0 0 0 2256 2241
f1h_226 f0_145 f0_191 3.93 -3.93 46.89 0 0 0 2247 2253
f1h_230 f0_100 f0_138 -1.76 1.76 42.57 0 0 0 2239 2269
f1h_237 f0_75 f0_155 1.94 -1.94 47.65 0 0 0 2254 2232
f1h_244 f0_39 f0_130 1.32 -1.32 45.82 0 0 0 2294 2272
f1h_246 f0_71 f0_158 -2.42 2.42 48.79 0 0 0 2233 2241
f1h_247 f0_115 f0_154 -0.98 0.98 49.44 0 0 0 2199 2159
f1h_254 f0_140 f0_145 0.87 -0.87 47.73 0 0 0 2277 2251
f1h_264 f0_151 f0_195 3.66 -3.66 44.92 0 0 0 2239 2246
f1h_266 f0_36 f0_137 -0.76 0.76 48.4 0 0 0 2290 2288
f1h_275 f0_98 f0_121 4.33 -4.33 46.38 0 0 0 2252 2252
f1h_277 f0_167 f0_197 1.07 -1.07 45.49 0 0 0 2212 2267
f1h_285 f0_63 f0_150 -1.29 1.29 47.14 0 0 0 2295 2293
f1h_291 f0_79 f0_127 -0.48 0.48 50.03 0 0 0 2177 2279
f1h_294 f0_126 f0_197 2.54 -2.54 46.56 0 0 0 2274 2276
f1h_299 f0_23 f0_85 5 -5 46.38 0 0 0 2234 2239
f1h_303 f0_35 f0_170 -4.56 4.56 45.45 0 0 0 2313 2237
f1h_310 f0_110 f0_122 1.17 -1.17 49.32 0 0 0 2199 2193
f1h_313 f0_195 f0_196 -2.55 2.55 45.61 0 0 0 2266 2229
f1h_314 f0_89 f0_179 5.7 -5.7 46.64 0 0 0 2312 2247
f1h_322 f0_11 f0_62 5.58 -5.58 45.56 0 0 0 2254 2284
f1h_324 f0_114 f0_144 1.38 -1.38 45.99 0 0 0 2235 2183
f1h_335 f0_31 f0_188 -1.35 1.35 48.83 0 0 0 2202 2201
f1h_340 f0_33 f0_37 -2.14 2.14 47.49 0 0 0 2257 2264
f1h_342 f0_92 f0_195 3.25 -3.25 48.63 0 0 0 2238 2297
f1h_343 f0_59 f0_132 3.05 -3.05 45.93 0 0 0 2263 2255
f1h_359 f0_16 f0_93 -0.55 0.55 41.98 0 0 0 2237 2247
f1h_364 f0_22 f0_72 1.5 -1.5 47.39 0 0 0 2236 2259
f1h_365 f0_51 f0_81 -2.12 2.12 47.24 0 0 0 2245 2268
f1h_366 f0_26 f0_191 7.23 -7.23 43.78 0 0 0 2245 2260
f1h_368 f0_81 f0_91 -10.62 10.62 41.59 0 0 0 2264 2255
f1h_369 f0_77 f0_191 -9.07 9.07 41.41 0 0 0 2262 2267
f1h_370 f0_30 f0_82 0.98 -0.98 48.52 0 0 0 2280 2273
f1h_373 f0_85 f0_194 3.19 -3.19 46.98 0 0 0 2266 2258
f1h_382 f0_111 f0_199 1.49 -1.49 44.62 0 0 0 2260 2319
f1h_383 f0_87 f0_147 -7.47 7.47 45.25 0 0 0 2279 2267
f1h_393 f0_21 f0_157 -1.02 1.02 53.54 0 0 0 2294 2259
f1h_399 f0_44 f0_88 -6.73 6.73 45.57 0 0 0 2262 2312
f1h_411 f0_7 f0_157 9.84 -9.84 41.47 0 0 0 2215 2230
f1h_412 f0_121 f0_141 -3.52 3.52 48.28 0 0 0 2237 2205
f1h_415 f0_98 f0_198 2.16 -2.16 47.77 0 0 0 2242 2287
f1h_433 f0_102 f0_159 4.31 -4.31 43.54 0 0 0 2237 2265
f1h_437 f0_47 f0_159 2.84 -2.84 48.58 0 0 0 2248 2274
f1h_438 f0_113 f0_197 -5.43 5.43 40.02 0 0 0 2243 2249
f1h_441 f0_14 f0_35 -10.38 10.38 45.2 0 0 0 2282 2309
f1h_448 f0_5 f0_61 3.02 -3.02 49.47 0 0 0 2224 2305
f1h_449 f0_158 f0_177 1.62 -1.62 47.38 0 0 0 2246 2233
f1h_458 f0_34 f0_74 0.86 -0.86 47.42 0 0 0 2284 2212
f1h_465 f0_37 f0_65 0.69 -0.69 45.44 0 0 0 2246 2232
f1h_473 f0_26 f0_92 11.38 -11.38 39.33 0 0 0 2249 2254
f1h_483 f0_45 f0_66 3.41 -3.41 49.13 0 0 0 2267 2264
