ID1 ID2 TopRel LLR OH BirthYear1 BirthYear2 AgeDif Sex1 Sex2 SNPdBoth
f0_657 f1w_216 PO 6.83 0 NA NA NA 3 3 729
f1w_424 f2_782 PO 6.63 0 NA NA NA 3 3 744
f1h_331 f2_168 PO 6.56 0 NA NA NA 3 3 736
f0_616 f1w_148 PO 6.52 0 NA NA NA 3 3 748
f0_164 f1h_464 PO 6.31 0 NA NA NA 3 3 728
f0_118 f1h_132 PO 6.24 0 NA NA NA 3 3 748
f1w_206 f2_100 PO 6.23 0 NA NA NA 3 3 755
f1h_78 f2_679 PO 6.21 0 NA NA NA 3 3 750
f0_265 f1w_121 PO 6.18 0 NA NA NA 3 3 749
f0_162 f1h_395 PO 6.17 0 NA NA NA 3 3 732
f1h_166 f2_462 PO 6.1 0 NA NA NA 3 3 746
f0_666 f1w_414 PO 6.06 0 NA NA NA 3 3 746
f1w_238 f2_337 PO 6.03 0 NA NA NA 3 3 742
f1w_101 f2_707 PO 6.01 0 NA NA NA 3 3 746
f0_499 f1w_26 PO 6 0 NA NA NA 3 3 739
f0_162 f1h_341 PO 5.98 0 NA NA NA 3 3 725
f0_183 f1h_166 PO 5.96 0 NA NA NA 3 3 738
f0_563 f1w_465 PO 5.89 0 NA NA NA 3 3 741
f0_170 f1h_428 PO 5.87 0 NA NA NA 3 3 746
f0_295 f1w_280 PO 5.87 0 NA NA NA 3 3 731
f1w_362 f2_840 PO 5.87 0 NA NA NA 3 3 742
f1h_419 f2_457 PO 5.82 0 NA NA NA 3 3 743
f0_204 f1w_75 PO 5.79 0 NA NA NA 3 3 744
f0_63 f1h_201 PO 5.78 0 NA NA NA 3 3 735
f0_98 f1h_53 PO 5.78 0 NA NA NA 3 3 742
f0_439 f1w_406 PO 5.78 0 NA NA NA 3 3 743
f0_17 f1h_300 PO 5.74 0 NA NA NA 3 3 751
f1w_26 f2_191 PO 5.74 0 NA NA NA 3 3 744
f1h_367 f2_706 PO 5.73 0 NA NA NA 3 3 743
f1h_355 f2_957 PO 5.71 0 NA NA NA 3 3 754
f1h_360 f2_732 PO 5.69 0 NA NA NA 3 3 745
f1w_92 f2_163 PO 5.67 0 NA NA NA 3 3 738
f0_492 f1w_147 PO 5.64 0 NA NA NA 3 3 767
f0_68 f1h_274 PO 5.63 0 NA NA NA 3 3 750
f0_473 f1w_286 PO 5.62 0 NA NA NA 3 3 745
f0_463 f1w_64 PO 5.62 0 NA NA NA 3 3 751
f1w_320 f2_423 PO 5.62 0 NA NA NA 3 3 746
f0_139 f1h_194 PO 5.6 0 NA NA NA 3 3 746
f0_40 f1h_113 PO 5.59 0 NA NA NA 3 3 746
f0_90 f1h_279 PO 5.58 0 NA NA NA 3 3 739
f0_2 f1h_336 PO 5.58 0 NA NA NA 3 3 746
f1h_49 f2_261 PO 5.58 0 NA NA NA 3 3 749
f0_28 f1h_127 PO 5.57 0 NA NA NA 3 3 741
f0_102 f1h_312 PO 5.57 0 NA NA NA 3 3 734
f0_110 f1h_155 PO 5.55 0 NA NA NA 3 3 740
f0_204 f1w_8 PO 5.55 0 NA NA NA 3 3 752
f0_700 f1w_339 PO 5.54 0 NA NA NA 3 3 741
f1w_107 f2_221 PO 5.54 0 NA NA NA 3 3 747
f0_514 f1w_155 PO 5.53 0 NA NA NA 3 3 743
f0_651 f1w_448 PO 5.53 0 NA NA NA 3 3 737
f0_89 f1h_77 PO 5.51 0 NA NA NA 3 3 740
f0_182 f1h_96 PO 5.51 0 NA NA NA 3 3 746
f0_197 f1h_151 PO 5.5 0 NA NA NA 3 3 751
f0_2 f1h_186 PO 5.5 0 NA NA NA 3 3 747
f1h_343 f2_419 PO 5.5 0 NA NA NA 3 3 746
f0_944 f1w_413 PO 5.49 0 NA NA NA 3 3 736
f1h_60 f2_584 PO 5.49 0 NA NA NA 3 3 741
f0_104 f1h_250 PO 5.48 0 NA NA NA 3 3 741
f1w_286 f2_654 PO 5.46 0 NA NA NA 3 3 744
f0_401 f1w_101 PO 5.45 0 NA NA NA 3 3 753
f0_492 f1w_238 PO 5.45 0 NA NA NA 3 3 762
f1h_353 f2_687 PO 5.45 0 NA NA NA 3 3 743
f0_660 f1w_371 PO 5.44 0 NA NA NA 3 3 734
f1w_490 f2_183 PO 5.44 0 NA NA NA 3 3 741
f1w_213 f2_464 PO 5.44 0 NA NA NA 3 3 734
f0_102 f1h_313 PO 5.43 0 NA NA NA 3 3 745
f0_363 f1w_347 PO 5.43 0 NA NA NA 3 3 740
f0_268 f1w_476 PO 5.42 0 NA NA NA 3 3 757
f1h_306 f2_317 PO 5.41 0 NA NA NA 3 3 727
f1h_489 f2_492 PO 5.41 0 NA NA NA 3 3 753
f0_196 f1h_274 PO 5.4 0 NA NA NA 3 3 767
f1h_171 f2_484 PO 5.4 0 NA NA NA 3 3 755
f0_20 f1h_400 PO 5.39 0 NA NA NA 3 3 745
f0_114 f1h_415 PO 5.39 0 NA NA NA 3 3 751
f1h_183 f2_208 PO 5.39 0 NA NA NA 3 3 750
f1w_379 f2_651 PO 5.39 0 NA NA NA 3 3 737
f0_166 f1h_45 PO 5.36 0 NA NA NA 3 3 749
f0_499 f1w_239 PO 5.36 0 NA NA NA 3 3 742
f0_650 f1w_363 PO 5.36 0 NA NA NA 3 3 738
f0_291 f1w_385 PO 5.36 0 NA NA NA 3 3 749
f1w_163 f2_129 PO 5.36 0 NA NA NA 3 3 755
