id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_1 f0_3 f0_169 -0.3 0.3 12.47 0 0 0 655 668
f1h_2 f0_94 f0_185 2.33 -2.33 12.39 0 0 0 675 687
f1h_3 f0_56 f0_170 3.73 -3.73 12.6 0 0 0 687 683
f1h_4 f0_138 f0_190 -0.09 0.09 15.12 0 0 0 682 668
f1h_5 f0_87 f0_196 3.08 -3.08 11.94 0 0 0 688 694
f1h_6 f0_7 f0_188 -2.72 2.72 13.24 0 0 0 680 673
f1h_8 f0_6 f0_190 -0.35 0.35 14.21 0 0 0 651 656
f1h_9 f0_33 f0_76 -0.52 0.52 12.18 0 0 0 661 663
f1h_10 f0_142 f0_182 0.09 -0.09 14.15 0 0 0 697 683
f1h_12 f0_50 f0_152 2.79 -2.79 12.4 0 0 0 672 693
f1h_13 f0_76 f0_81 -0.1 0.1 13.91 0 0 0 652 652
f1h_14 f0_99 f0_160 1.58 -1.58 12.85 0 0 0 674 668
f1h_15 f0_87 f0_155 3.3 -3.3 11.83 0 0 0 674 669
f1h_16 f0_19 f0_86 -1.9 1.9 11.98 0 0 0 672 667
f1h_17 f0_82 f0_107 1.69 -1.69 11.5 0 0 0 671 652
f1h_22 f0_2 f0_11 -0.24 0.24 14.84 0 0 0 644 664
f1h_23 f0_112 f0_161 -0.88 0.88 13.84 0 0 0 649 648
f1h_24 f0_105 f0_148 2.04 -2.04 11.9 0 0 0 661 663
f1h_25 f0_57 f0_155 0.22 -0.22 14.85 0 0 0 686 687
f1h_26 f0_77 f0_184 -3.09 3.09 11.26 0 0 0 673 661
f1h_27 f0_81 f0_111 1.34 -1.34 12.41 0 0 0 659 651
f1h_28 f0_27 f0_194 -0.22 0.22 15.79 0 0 0 677 673
f1h_29 f0_101 f0_158 -0.61 0.61 13.59 0 0 0 662 661
f1h_30 f0_65 f0_80 -2.36 2.36 12.59 0 0 0 674 660
f1h_32 f0_11 f0_47 -1.49 1.49 12.79 0 0 0 681 671
f1h_33 f0_146 f0_158 0.82 -0.82 13.46 0 0 0 673 657
f1h_35 f0_24 f0_115 -1.27 1.27 12.73 0 0 0 680 678
f1h_37 f0_42 f0_174 -1.11 1.11 15.69 0 0 0 671 668
f1h_38 f0_160 f0_168 0.65 -0.65 14.21 0 0 0 665 637
f1h_39 f0_33 f0_118 -1.64 1.64 12.77 0 0 0 659 651
f1h_40 f0_61 f0_139 0.59 -0.59 14.45 0 0 0 681 682
f1h_41 f0_139 f0_142 -1.26 1.26 14.2 0 0 0 678 686
f1h_42 f0_11 f0_111 -0.68 0.68 12.49 0 0 0 677 655
f1h_44 f0_168 f0_170 -0.29 0.29 13.16 0 0 0 646 670
f1h_45 f0_9 f0_166 4.4 -4.4 13.19 0 0 0 678 682
f1h_47 f0_30 f0_80 -0.69 0.69 13.56 0 0 0 642 653
f1h_48 f0_154 f0_171 -3.47 3.47 12.62 0 0 0 670 671
f1h_49 f0_152 f0_176 3.92 -3.92 12.3 0 0 0 681 667
f1h_50 f0_120 f0_156 4.03 -4.03 9.68 0 0 0 673 669
f1h_51 f0_79 f0_147 -4.58 4.58 12.01 0 0 0 667 647
f1h_52 f0_44 f0_170 1.87 -1.87 14.05 0 0 0 676 681
