id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f0_11 f1h_400 f1h_468 0 0 1.42 0 0 1 218 217
f0_11 f1h_400 f1h_472 1.05 -1.05 0.64 0 0 1 218 217
f0_20 f1h_51 f1h_496 -0.33 0.33 0.57 0 0 1 210 219
f0_21 f1h_65 f1h_384 -0.3 0.3 -0.46 0 0 2 238 212
f0_25 f1h_178 f1h_270 -2.18 -0.28 0.63 0 0 1 228 233
f0_50 f1h_7 f1h_360 -0.27 0.27 0.32 0 0 1 230 239
f0_67 f1h_54 f1h_206 1.12 -1.12 0.49 0 0 1 226 225
f0_68 f1h_54 f1h_192 0.89 -0.89 1.29 0 0 1 229 236
f0_77 f1h_35 f1h_40 -1.08 1.08 2.33 0 0 1 218 233
f0_78 f1h_59 f1h_148 -0.78 0.78 1.39 0 0 1 222 232
f0_78 f1h_59 f1h_259 -0.24 0.24 4.26 0 0 0 222 237
f0_78 f1h_148 f1h_259 0.7 -0.7 -0.27 0 0 2 232 237
f0_87 f1h_34 f1h_461 0.92 -0.92 0.12 0 0 2 229 233
f0_96 f1h_196 f1h_297 -1.68 1.68 0.54 0 0 1 217 226
f0_97 f1h_22 f1h_475 -1.41 1.41 -0.17 0 0 1 224 231
f0_102 f1h_284 f1h_304 -2.25 2.25 0.52 0 0 1 230 217
f0_130 f1h_255 f1h_430 0.42 -0.42 0.64 0 0 1 233 216
f0_139 f1h_154 f1h_276 -1.83 1.83 0.5 0 0 1 241 247
f0_144 f1h_169 f1h_249 -0.94 0.94 1.13 0 0 1 232 232
f0_145 f1h_326 f1h_395 0.32 -0.32 1.68 0 0 1 223 219
f0_150 f1h_44 f1h_159 -0.28 0.28 0.03 0 0 1 251 246
f0_151 f1h_9 f1h_208 0.41 -0.41 2.61 0 0 0 216 228
f0_156 f1h_3 f1h_210 4.32 -4.32 -0.49 0 0 2 218 243
f0_156 f1h_255 f1h_460 -1.2 1.2 0.61 0 0 2 244 224
f0_158 f1h_57 f1h_375 -0.29 0.29 0.25 0 0 2 247 232
f0_165 f1h_37 f1h_427 -0.2 0.2 0.39 0 0 1 227 231
f0_166 f1h_33 f1h_481 -0.12 0.12 -0.4 0 0 1 219 218
f0_169 f1h_53 f1h_376 -0.84 0.84 -0.38 0 0 1 229 230
f0_175 f1h_164 f1h_188 0.36 -0.36 2 0 0 1 242 245
f0_183 f1h_11 f1h_95 -0.37 0.31 0.93 0 0 2 226 235
f0_185 f1h_311 f1h_443 -0.27 0.27 3.55 0 0 1 224 220
f0_187 f1h_157 f1h_204 -0.58 0.58 3.63 0 0 0 232 224
f0_188 f1h_314 f1h_433 -0.26 0.26 0.34 0 0 1 208 228
f0_191 f1h_233 f1h_344 -0.87 0.87 1.86 0 0 1 230 226
f0_198 f1h_227 f1h_302 1.22 -1.22 3.51 0 0 1 239 236
f0_267 f1w_53 f1w_360 0.33 -0.33 0.03 0 0 2 218 225
f0_356 f1w_218 f1w_487 0.74 -0.74 1.01 0 0 1 242 237
f0_590 f1w_220 f1w_273 -2.02 2.02 -0.41 0 0 1 252 235
f0_701 f1w_24 f1w_166 0.52 -0.52 1.02 0 0 1 214 212
f0_958 f1w_2 f1w_498 -1.33 1.33 -0.05 0 0 1 233 227
f1h_1 f0_32 f0_145 -0.3 0.3 3.42 0 0 0 232 217
f1h_1 f0_145 f2_350 -0.41 0.41 1.22 0 0 1 217 232
f1h_2 f0_88 f0_192 -0.09 0.09 3.79 0 0 0 218 218
f1h_3 f0_131 f0_156 0.84 -0.84 3.32 0 0 0 219 218
f1h_4 f0_10 f0_148 0.74 -0.74 4.2 0 0 0 237 221
f1h_6 f0_72 f0_90 1.6 -1.6 3.95 0 0 0 242 251
f1h_7 f0_50 f0_167 -3.05 3.05 2.57 0 0 0 230 209
f1h_7 f0_50 f1h_390 -1.31 1.31 -0.06 0 0 1 230 225
f1h_8 f0_117 f0_161 -0.18 0.18 3.84 0 0 0 249 243
f1h_9 f0_142 f0_151 -0.45 0.45 3.89 0 0 0 218 216
f1h_10 f0_40 f0_115 -0.49 0.49 3.46 0 0 0 226 204
f1h_11 f0_143 f0_183 1.94 -1.94 3.82 0 0 0 229 226
f1h_13 f0_27 f0_134 0.18 -0.18 4.71 0 0 0 234 238
f1h_15 f0_57 f0_75 -2.52 2.52 2.85 0 0 0 206 223
f1h_17 f0_41 f0_93 0.77 -0.77 2.51 0 0 0 233 226
f1h_18 f0_111 f0_182 0.87 -0.87 5.31 0 0 0 211 225
f1h_20 f0_61 f0_66 0.52 -0.52 2.92 0 0 0 216 229
f1h_21 f0_43 f0_199 0.43 -0.43 3.73 0 0 0 206 221
f1h_22 f0_97 f0_139 -0.6 0.6 5.83 0 0 0 224 229
f1h_24 f0_28 f0_43 -0.04 0.04 4.02 0 0 0 226 207
f1h_25 f0_25 f0_92 3.83 -3.83 4.33 0 0 0 231 222
f1h_26 f0_31 f0_56 -0.16 0.16 3.55 0 0 0 240 236
f1h_27 f0_86 f0_148 -0.2 0.2 4.74 0 0 0 219 221
f1h_28 f0_88 f0_154 0.04 -0.04 4.24 0 0 0 232 227
f1h_29 f0_23 f0_166 -0.73 0.73 2.69 0 0 0 233 226
f1h_30 f0_86 f0_175 0.08 -0.08 5.48 0 0 0 214 231
f1h_31 f0_148 f0_193 -0.53 0.53 4.36 0 0 0 230 217
f1h_32 f0_44 f0_168 -0.94 0.94 2.17 0 0 0 245 216
f1h_32 f0_168 f2_894 -0.1 0.1 0.97 0 0 1 216 226
f1h_33 f0_144 f0_166 -1.16 1.16 3.86 0 0 0 234 219
f1h_34 f0_87 f0_167 1.35 -1.35 3.76 0 0 0 229 217
f1h_35 f0_62 f0_77 2.58 -2.58 3.14 0 0 0 229 218
f1h_37 f0_6 f0_165 1.26 -1.26 3.18 0 0 0 229 227
f1h_38 f0_9 f0_53 1.56 -1.56 3.5 0 0 0 224 237
f1h_39 f0_5 f0_191 1.09 -1.09 2.89 0 0 0 232 234
f1h_40 f0_63 f0_77 0.31 -0.31 5.04 0 0 0 234 233
f1h_40 f0_77 f2_935 0.25 -0.25 4.63 0 0 0 233 243
f1h_41 f0_38 f0_128 -0.12 0.12 3.97 0 0 0 220 235
f1h_42 f0_29 f0_179 -0.32 0.32 4.02 0 0 0 221 232
f1h_43 f0_38 f0_139 1.04 -1.04 3.18 0 0 0 218 236
f1h_44 f0_37 f0_150 -0.12 0.12 3.84 0 0 0 233 251
f1h_45 f0_107 f0_195 -1.17 1.17 2.7 0 0 0 217 224
f1h_46 f0_60 f0_163 1.14 -1.14 3.3 0 0 0 226 226
f1h_47 f0_96 f0_200 -0.37 0.37 4.02 0 0 0 236 240
f1h_48 f0_61 f0_194 -0.56 0.56 4.85 0 0 0 227 236
f1h_48 f0_61 f2_224 -0.45 0.23 -0.26 0 0 1 227 226
f1h_49 f0_7 f0_88 -0.39 0.39 3.19 0 0 0 223 226
f1h_50 f0_29 f0_85 0.35 -0.35 4.34 0 0 0 232 232
f1h_51 f0_2 f0_20 -1.16 1.16 3.1 0 0 0 216 210
f1h_52 f0_12 f0_118 1.05 -1.05 3.55 0 0 0 223 244
f1h_53 f0_43 f0_169 -0.23 0.23 4.33 0 0 0 215 229
f1h_54 f0_67 f0_68 0.89 -0.89 3.6 0 0 0 226 229
f1h_55 f0_18 f0_66 2.18 -2.18 3.32 0 0 0 227 245
f1h_56 f0_54 f0_164 -0.81 0.81 3.45 0 0 0 221 240
f1h_56 f0_54 f2_295 0.86 -0.86 0.01 0 0 1 221 226
f1h_57 f0_109 f0_158 0.24 -0.24 4.04 0 0 0 240 247
f1h_59 f0_73 f0_78 0.91 -0.91 3.13 0 0 0 220 222
f1h_61 f0_122 f0_131 -1.4 1.4 4.37 0 0 0 240 244
f1h_62 f0_126 f0_150 -0.38 0.38 3.68 0 0 0 238 255
f1h_63 f0_113 f0_178 -0.51 0.51 4.65 0 0 0 226 228
f1h_64 f0_2 f0_34 -2.84 2.84 2.76 0 0 0 235 233
f1h_64 f2_473 f2_647 1.14 -1.14 3 0 0 1 224 232
f1h_65 f0_5 f0_21 0.8 -0.8 4.45 0 0 0 235 238
f1h_66 f0_68 f0_97 0.77 -0.77 3.76 0 0 0 230 236
f1h_67 f0_100 f0_136 1.37 -1.37 3.96 0 0 0 230 227
f1h_68 f0_97 f0_145 -2.53 2.53 3.72 0 0 0 235 227
f1h_69 f0_12 f0_66 -0.19 0.19 4.57 0 0 0 228 244
f1h_71 f0_139 f0_181 -0.19 0.19 4.66 0 0 0 233 229
f1h_72 f0_85 f0_106 -0.3 0.3 4.05 0 0 0 231 232
f1h_73 f0_67 f0_108 0.12 -0.12 4.79 0 0 0 216 222
f1h_74 f0_18 f0_155 -0.92 0.92 3.31 0 0 0 226 220
f1h_75 f0_45 f0_161 0.89 -0.89 3.6 0 0 0 219 220
f1h_77 f0_23 f0_109 -2.02 2.02 2.29 0 0 0 226 217
f1h_78 f0_93 f0_126 0.61 -0.61 3.53 0 0 0 223 225
f1h_80 f0_86 f0_177 1.23 -1.23 3.31 0 0 0 221 238
f1h_81 f0_163 f0_189 1.71 -1.71 3.66 0 0 0 242 240
f1h_82 f0_18 f0_161 -0.63 0.63 2.99 0 0 0 213 226
f1h_83 f0_5 f0_91 0.63 -0.63 3.15 0 0 0 224 220
f1h_86 f0_56 f0_128 -1.49 1.49 4.02 0 0 0 218 224
f1h_87 f0_56 f0_116 1.11 -1.11 4.23 0 0 0 235 254
f1h_88 f0_41 f0_52 1.24 -1.24 2.85 0 0 0 227 229
f1h_90 f0_105 f0_118 -1.51 1.51 3.95 0 0 0 236 236
f1h_91 f0_166 f0_178 1.22 -1.22 3.6 0 0 0 213 215
f1h_92 f0_136 f0_149 1.63 -1.63 4.34 0 0 0 230 231
f1h_93 f0_79 f0_126 0.78 -0.78 3.85 0 0 0 227 226
f1h_93 f0_79 f2_190 1.13 -1.13 1.58 0 0 1 227 230
f1h_93 f0_126 f2_720 0.69 -0.69 0.51 0 0 1 226 227
f1h_94 f0_128 f0_149 2.27 -2.27 3.35 0 0 0 231 230
f1h_95 f0_75 f0_183 1.38 -1.38 3.76 0 0 0 248 235
f1h_98 f0_90 f0_111 -2.11 2.11 2.9 0 0 0 238 215
f1h_98 f0_90 f2_591 -0.28 0.28 0.34 0 0 2 238 219
f1h_99 f0_138 f0_172 -1.26 1.26 3.81 0 0 0 222 237
f1h_100 f0_128 f0_165 1.03 -1.03 3.59 0 0 0 241 237
f1h_101 f0_52 f0_150 0.46 -0.46 4.48 0 0 0 239 240
f1h_102 f0_8 f0_165 0.06 -0.06 3.54 0 0 0 234 217
f1h_103 f0_100 f0_176 0.66 -0.66 3.88 0 0 0 226 232
f1h_104 f0_54 f0_62 -1.06 1.06 4.82 0 0 0 229 235
f1h_105 f0_179 f0_200 -2.03 2.03 3.64 0 0 0 243 242
f1h_105 f2_135 f2_538 -0.26 0.26 0.14 0 0 2 241 249
f1h_106 f0_53 f0_182 0.81 -0.81 3.49 0 0 0 214 219
f1h_107 f0_21 f0_50 1.04 -1.04 3.36 0 0 0 216 234
f1h_108 f0_14 f0_179 -1.76 1.76 2.98 0 0 0 232 245
f1h_109 f0_36 f0_150 0.48 -0.48 4.72 0 0 0 214 222
f1h_110 f0_23 f0_42 -0.5 0.5 3.74 0 0 0 219 215
f1h_112 f0_82 f0_100 -0.34 0.34 3.8 0 0 0 244 229
f1h_113 f0_71 f0_148 2.38 -2.38 1.72 0 0 0 220 219
f1h_113 f0_148 f2_949 2 -2 3.56 0 0 0 219 219
f1h_115 f0_3 f0_103 2.62 -2.62 4.15 0 0 0 233 242
f1h_116 f0_3 f0_33 -0.62 0.62 3.76 0 0 0 218 219
f1h_119 f0_1 f0_33 -1.98 1.98 2.36 0 0 0 215 217
f1h_121 f0_142 f0_173 1.18 -1.18 4.02 0 0 0 225 222
f1h_122 f0_3 f0_80 1.42 -1.42 2.34 0 0 0 219 226
f1h_124 f0_14 f0_71 0.91 -0.91 3.88 0 0 0 217 218
f1h_124 f0_71 f2_650 0.96 -0.96 2.49 0 0 1 218 223
f1h_126 f0_86 f0_143 -0.62 0.62 4.31 0 0 0 212 220
f1h_127 f0_63 f0_95 -0.35 0.35 3.37 0 0 0 203 208
f1h_128 f0_3 f0_188 1.27 -1.27 3.95 0 0 0 222 206
f1h_129 f0_15 f0_153 -0.6 0.6 4.2 0 0 0 222 221
f1h_130 f0_6 f0_82 1.34 -1.34 2.33 0 0 0 219 249
f1h_130 f2_134 f2_523 -1.58 1.58 2.25 0 0 0 236 224
f1h_131 f0_95 f0_116 -1.03 1.03 3.99 0 0 0 228 237
f1h_132 f0_68 f0_92 0.09 -0.09 4.5 0 0 0 235 211
f1h_133 f0_166 f0_198 -1.2 1.2 4.44 0 0 0 223 226
f1h_134 f0_70 f0_83 -0.31 0.31 4.61 0 0 0 224 225
f1h_135 f0_69 f0_178 0.02 -0.02 3.44 0 0 0 223 223
f1h_137 f0_48 f0_63 1.65 -1.65 3.97 0 0 0 227 231
f1h_138 f0_125 f0_131 0.95 -0.95 3.21 0 0 0 225 236
f1h_138 f0_131 f2_77 0.86 -0.86 -0.1 0 0 1 236 232
f1h_140 f0_74 f0_85 2.52 -2.52 3.52 0 0 0 232 222
f1h_141 f0_84 f0_88 -0.32 0.32 3.61 0 0 0 241 229
f1h_142 f0_111 f0_198 0.11 -0.11 3.79 0 0 0 213 210
f1h_143 f0_106 f0_120 -0.62 0.62 4.3 0 0 0 220 236
f1h_146 f0_12 f0_28 0.7 -0.7 3.76 0 0 0 221 224
f1h_148 f0_78 f0_104 -0.44 0.44 4.41 0 0 0 232 228
