id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_2 f0_94 f0_185 1.18 -1.18 13.67 0 0 0 669 664
f1h_4 f0_138 f0_190 -0.55 0.55 14.99 0 0 0 664 657
f1h_5 f0_87 f0_196 1.52 -1.52 11.99 0 0 0 655 660
f1h_6 f0_7 f0_188 -3.39 3.39 14.39 0 0 0 654 644
f1h_13 f0_76 f0_81 0.42 -0.42 14.09 0 0 0 670 657
f1h_15 f0_87 f0_155 1.48 -1.48 13.53 0 0 0 660 654
f1h_23 f0_112 f0_161 -0.52 0.52 13.83 0 0 0 653 655
f1h_26 f0_77 f0_184 -0.63 0.63 13.27 0 0 0 654 654
f1h_30 f0_65 f0_80 -1.69 1.69 12.96 0 0 0 663 652
f1h_35 f0_24 f0_115 -1.03 1.03 12.86 0 0 0 651 677
f1h_40 f0_61 f0_139 -0.56 0.56 14.04 0 0 0 651 644
f1h_42 f0_11 f0_111 1.65 -1.65 12.56 0 0 0 654 646
f1h_47 f0_30 f0_80 -2.39 2.39 12.46 0 0 0 651 655
f1h_48 f0_154 f0_171 -2.4 2.4 11.47 0 0 0 659 659
f1h_49 f0_152 f0_176 1.73 -1.73 13.68 0 0 0 664 664
f1h_52 f0_44 f0_170 0.43 -0.43 14.04 0 0 0 676 647
f1h_53 f0_98 f0_143 1.55 -1.55 13.4 0 0 0 655 655
f1h_56 f0_143 f0_183 1.09 -1.09 15.33 0 0 0 665 672
f1h_57 f0_35 f0_46 -1.45 1.45 11.8 0 0 0 656 673
f1h_60 f0_98 f0_118 0.13 -0.13 16.29 0 0 0 676 670
f1h_62 f0_65 f0_114 -1.9 1.9 14.53 0 0 0 670 670
f1h_65 f0_28 f0_197 -0.15 0.15 12.25 0 0 0 638 642
f1h_68 f0_25 f0_195 -0.33 0.33 12.85 0 0 0 658 660
f1h_69 f0_136 f0_175 1.8 -1.8 12.1 0 0 0 653 649
f1h_74 f0_49 f0_149 -4.16 4.16 12.61 0 0 0 677 683
f1h_75 f0_20 f0_55 0.19 -0.19 14.15 0 0 0 672 673
f1h_77 f0_89 f0_138 0.08 -0.08 14.23 0 0 0 647 658
f1h_78 f0_30 f0_78 -1.99 1.99 12.5 0 0 0 656 666
f1h_79 f0_37 f0_65 -4.29 4.29 12.85 0 0 0 656 649
f1h_83 f0_20 f0_160 2.58 -2.58 11.78 0 0 0 652 659
f1h_84 f0_41 f0_141 -2.49 2.49 11.36 0 0 0 639 654
f1h_85 f0_81 f0_97 -0.32 0.32 14.76 0 0 0 644 662
f1h_88 f0_61 f0_184 -0.06 0.06 15.41 0 0 0 667 660
f1h_89 f0_26 f0_83 -0.24 0.24 13.96 0 0 0 655 646
f1h_90 f0_101 f0_170 2.5 -2.5 12.94 0 0 0 632 643
f1h_92 f0_9 f0_94 4.98 -4.98 12.51 0 0 0 648 672
f1h_96 f0_127 f0_182 0.26 -0.26 16.17 0 0 0 663 656
f1h_97 f0_80 f0_82 3.81 -3.81 12.65 0 0 0 661 663
f1h_99 f0_11 f0_200 -4.36 4.36 11.12 0 0 0 657 644
f1h_100 f0_91 f0_144 1.25 -1.25 13.06 0 0 0 664 649
