id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_1 f0_32 f0_145 0.71 -0.71 7.93 0 0 0 398 398
f1h_2 f0_88 f0_192 -1.35 1.35 7.39 0 0 0 398 398
f1h_3 f0_131 f0_156 -1.34 1.34 7.73 0 0 0 398 398
f1h_4 f0_10 f0_148 0.44 -0.44 8.91 0 0 0 398 398
f1h_5 f0_23 f0_110 -1.97 1.97 5.46 0 0 0 398 398
f1h_6 f0_72 f0_90 1.14 -1.14 9.5 0 0 0 398 398
f1h_7 f0_50 f0_167 -2.24 2.24 6.35 0 0 0 398 398
f1h_8 f0_117 f0_161 -0.72 0.72 8.06 0 0 0 398 398
f1h_9 f0_142 f0_151 -0.55 0.55 8.4 0 0 0 398 398
f1h_10 f0_40 f0_115 -1.91 1.91 7.16 0 0 0 398 398
f1h_11 f0_143 f0_183 1.55 -1.55 8.7 0 0 0 398 398
f1h_15 f0_57 f0_75 0.23 -0.23 8.36 0 0 0 398 398
f1h_17 f0_41 f0_93 1.23 -1.23 6.73 0 0 0 398 398
f1h_18 f0_111 f0_182 -0.19 0.19 9.78 0 0 0 398 398
f1h_21 f0_43 f0_199 -0.35 0.35 7.9 0 0 0 398 398
f1h_24 f0_28 f0_43 0.82 -0.82 8.71 0 0 0 398 398
f1h_25 f0_25 f0_92 3 -3 9.61 0 0 0 398 398
f1h_26 f0_31 f0_56 -1.74 1.74 7.06 0 0 0 398 398
f1h_27 f0_86 f0_148 -0.8 0.8 9.02 0 0 0 398 398
f1h_28 f0_88 f0_154 -0.65 0.65 7.58 0 0 0 398 398
f1h_31 f0_148 f0_193 0.32 -0.32 8.62 0 0 0 398 398
f1h_33 f0_144 f0_166 -1.94 1.94 7.34 0 0 0 398 398
f1h_34 f0_87 f0_167 0.04 -0.04 9.04 0 0 0 398 398
f1h_35 f0_62 f0_77 3.15 -3.15 7.35 0 0 0 398 398
f1h_40 f0_63 f0_77 0.54 -0.54 9.18 0 0 0 398 398
f1h_41 f0_38 f0_128 0.94 -0.94 7.85 0 0 0 398 398
f1h_45 f0_107 f0_195 -2.48 2.48 7.36 0 0 0 398 398
f1h_46 f0_60 f0_163 1.78 -1.78 7.16 0 0 0 398 398
f1h_47 f0_96 f0_200 0.25 -0.25 8.22 0 0 0 398 398
f1h_49 f0_7 f0_88 -1.24 1.24 8.77 0 0 0 398 398
f1h_52 f0_12 f0_118 0.11 -0.11 8.35 0 0 0 398 398
f1h_54 f0_67 f0_68 1.29 -1.29 6.6 0 0 0 398 398
f1h_55 f0_18 f0_66 -0.13 0.13 8.71 0 0 0 398 398
f1h_56 f0_54 f0_164 -0.61 0.61 8.05 0 0 0 398 398
f1h_57 f0_109 f0_158 0.64 -0.64 7.66 0 0 0 398 398
f1h_59 f0_73 f0_78 0.13 -0.13 8.24 0 0 0 398 398
f1h_61 f0_122 f0_131 -1.05 1.05 8.46 0 0 0 398 398
f1h_62 f0_126 f0_150 0.83 -0.83 6.42 0 0 0 398 398
f1h_64 f0_2 f0_34 -3.05 3.05 6.91 0 0 0 398 398
f1h_65 f0_5 f0_21 1.83 -1.83 8.1 0 0 0 398 398
f1h_66 f0_68 f0_97 0.34 -0.34 8.65 0 0 0 398 398
f1h_67 f0_100 f0_136 1.89 -1.89 8.01 0 0 0 398 398
f1h_68 f0_97 f0_145 -1.98 1.98 7.56 0 0 0 398 398
f1h_69 f0_12 f0_66 0 0 9.46 0 0 0 398 398
f1h_70 f0_115 f0_119 -0.56 0.56 9.15 0 0 0 398 398
f1h_71 f0_139 f0_181 -0.26 0.26 9.38 0 0 0 398 398
f1h_72 f0_85 f0_106 0.96 -0.96 7.64 0 0 0 398 398
f1h_73 f0_67 f0_108 -1.73 1.73 7.46 0 0 0 398 398
f1h_74 f0_18 f0_155 -2.27 2.27 7.49 0 0 0 398 398
f1h_75 f0_45 f0_161 0.51 -0.51 7.99 0 0 0 398 398
f1h_77 f0_23 f0_109 -1.56 1.56 7.79 0 0 0 398 398
f1h_78 f0_93 f0_126 0.66 -0.66 8.51 0 0 0 398 398
f1h_81 f0_163 f0_189 1.23 -1.23 7.31 0 0 0 398 398
f1h_83 f0_5 f0_91 1.32 -1.32 7.8 0 0 0 398 398
f1h_87 f0_56 f0_116 1.55 -1.55 6.94 0 0 0 398 398
f1h_88 f0_41 f0_52 0.4 -0.4 7.75 0 0 0 398 398
f1h_90 f0_105 f0_118 -1.79 1.79 7.48 0 0 0 398 398
f1h_91 f0_166 f0_178 0.72 -0.72 8.93 0 0 0 398 398
f1h_92 f0_136 f0_149 0.98 -0.98 8.34 0 0 0 398 398
f1h_95 f0_75 f0_183 1.55 -1.55 7.99 0 0 0 398 398
f1h_99 f0_138 f0_172 -1.53 1.53 7.42 0 0 0 398 398
f1h_100 f0_128 f0_165 0.15 -0.15 8.73 0 0 0 398 398
f1h_102 f0_8 f0_165 2.55 -2.55 7.27 0 0 0 398 398
f1h_103 f0_100 f0_176 -0.07 0.07 8.62 0 0 0 398 398
f1h_104 f0_54 f0_62 -0.54 0.54 8.19 0 0 0 398 398
f1h_105 f0_179 f0_200 -1.37 1.37 8.37 0 0 0 398 398
f1h_106 f0_53 f0_182 -0.27 0.27 9.18 0 0 0 398 398
f1h_107 f0_21 f0_50 -1.55 1.55 6.17 0 0 0 398 398
f1h_108 f0_14 f0_179 -2.34 2.34 6.77 0 0 0 398 398
f1h_109 f0_36 f0_150 -0.6 0.6 8.55 0 0 0 398 398
f1h_110 f0_23 f0_42 2.4 -2.4 7.24 0 0 0 398 398
f1h_115 f0_3 f0_103 2.36 -2.36 7.99 0 0 0 398 398
f1h_116 f0_3 f0_33 -1.04 1.04 8.12 0 0 0 398 398
f1h_119 f0_1 f0_33 -2.87 2.87 7.2 0 0 0 398 398
f1h_121 f0_142 f0_173 2.65 -2.65 7.96 0 0 0 398 398
f1h_122 f0_3 f0_80 0.64 -0.64 7.76 0 0 0 398 398
f1h_124 f0_14 f0_71 0.54 -0.54 8.44 0 0 0 398 398
f1h_129 f0_15 f0_153 -1.49 1.49 7.47 0 0 0 398 398
f1h_130 f0_6 f0_82 0.32 -0.32 7.64 0 0 0 398 398
f1h_131 f0_95 f0_116 -2.05 2.05 7.53 0 0 0 398 398
f1h_132 f0_68 f0_92 1.31 -1.31 8.25 0 0 0 398 398
f1h_135 f0_69 f0_178 1.16 -1.16 6.67 0 0 0 398 398
f1h_137 f0_48 f0_63 1.93 -1.93 7.8 0 0 0 398 398
f1h_138 f0_125 f0_131 -0.03 0.03 7.09 0 0 0 398 398
f1h_140 f0_74 f0_85 0.77 -0.77 8.23 0 0 0 398 398
f1h_141 f0_84 f0_88 1.96 -1.96 6.76 0 0 0 398 398
f1h_142 f0_111 f0_198 1.1 -1.1 9.1 0 0 0 398 398
f1h_143 f0_106 f0_120 0.03 -0.03 8.32 0 0 0 398 398
f1h_148 f0_78 f0_104 -0.22 0.22 7.88 0 0 0 398 398
f1h_150 f0_81 f0_114 -0.81 0.81 6.32 0 0 0 398 398
f1h_151 f0_42 f0_53 -1.9 1.9 7.56 0 0 0 398 398
f1h_154 f0_2 f0_139 -0.47 0.47 8.97 0 0 0 398 398
f1h_155 f0_2 f0_30 0.15 -0.15 7.71 0 0 0 398 398
f1h_158 f0_138 f0_139 -1.27 1.27 7.87 0 0 0 398 398
f1h_159 f0_101 f0_150 1.06 -1.06 7.75 0 0 0 398 398
f1h_161 f0_19 f0_109 -0.56 0.56 8.98 0 0 0 398 398
f1h_163 f0_61 f0_97 1.72 -1.72 8.07 0 0 0 398 398
f1h_164 f0_65 f0_175 0.42 -0.42 7.64 0 0 0 398 398
f1h_165 f0_104 f0_175 -2.03 2.03 7.76 0 0 0 398 398
f1h_169 f0_83 f0_144 -2.21 2.21 6.5 0 0 0 398 398
f1h_170 f0_9 f0_111 -1.33 1.33 6.96 0 0 0 398 398
f1h_175 f0_54 f0_58 0.7 -0.7 8.41 0 0 0 398 398
f1h_176 f0_25 f0_65 -1.18 1.18 8.7 0 0 0 398 398
f1h_177 f0_39 f0_138 1.59 -1.59 7.09 0 0 0 398 398
f1h_178 f0_25 f0_56 -2.9 2.9 6.97 0 0 0 398 398
f1h_179 f0_61 f0_103 -0.37 0.37 7.97 0 0 0 398 398
f1h_181 f0_59 f0_128 0.58 -0.58 8.93 0 0 0 398 398
f1h_184 f0_123 f0_188 0.46 -0.46 8.89 0 0 0 398 398
f1h_185 f0_69 f0_134 3.21 -3.21 6.5 0 0 0 398 398
f1h_186 f0_7 f0_40 -1.04 1.04 10.62 0 0 0 398 398
f1h_187 f0_96 f0_185 1.33 -1.33 7.84 0 0 0 398 398
f1h_190 f0_31 f0_83 1.44 -1.44 7.71 0 0 0 398 398
f1h_191 f0_64 f0_196 0.33 -0.33 8.99 0 0 0 398 398
f1h_192 f0_17 f0_68 -0.9 0.9 9.12 0 0 0 398 398
f1h_194 f0_32 f0_65 -0.45 0.45 7.89 0 0 0 398 398
f1h_199 f0_8 f0_129 1.68 -1.68 6.85 0 0 0 398 398
f1h_200 f0_34 f0_70 2.77 -2.77 5.99 0 0 0 398 398
f1h_202 f0_6 f0_166 1.36 -1.36 8.36 0 0 0 398 398
f1h_203 f0_29 f0_70 1.19 -1.19 7.9 0 0 0 398 398
f1h_205 f0_4 f0_146 -0.68 0.68 8.8 0 0 0 398 398
f1h_206 f0_67 f0_84 -0.03 0.03 8.93 0 0 0 398 398
f1h_207 f0_78 f0_100 -0.23 0.23 8.56 0 0 0 398 398
f1h_208 f0_151 f0_177 0.01 -0.01 9.25 0 0 0 398 398
f1h_209 f0_19 f0_35 0.22 -0.22 7.89 0 0 0 398 398
f1h_210 f0_106 f0_156 2.1 -2.1 7.93 0 0 0 398 398
f1h_212 f0_42 f0_50 -1.7 1.7 6.45 0 0 0 398 398
f1h_213 f0_176 f0_193 3.08 -3.08 7.08 0 0 0 398 398
f1h_217 f0_84 f0_197 0.48 -0.48 8.57 0 0 0 398 398
f1h_218 f0_42 f0_178 0.95 -0.95 8.97 0 0 0 398 398
f1h_219 f0_23 f0_112 -1.38 1.38 8.94 0 0 0 398 398
f1h_220 f0_4 f0_200 -0.49 0.49 7.82 0 0 0 398 398
f1h_222 f0_64 f0_126 -0.44 0.44 9.26 0 0 0 398 398
f1h_223 f0_11 f0_43 -1.25 1.25 8.85 0 0 0 398 398
f1h_228 f0_132 f0_191 0.27 -0.27 8.28 0 0 0 398 398
f1h_229 f0_7 f0_105 -2.67 2.67 7.3 0 0 0 398 398
f1h_231 f0_116 f0_122 -0.65 0.65 7.68 0 0 0 398 398
f1h_233 f0_119 f0_191 1.25 -1.25 8.82 0 0 0 398 398
f1h_234 f0_9 f0_136 -0.86 0.86 7.39 0 0 0 398 398
f1h_234 f2_714 f2_877 0.92 -0.92 0.71 0 0 3 398 398
f1h_235 f0_11 f0_168 1.61 -1.61 7.3 0 0 0 398 398
f1h_237 f0_116 f0_154 -0.33 0.33 7.65 0 0 0 398 398
f1h_238 f0_181 f0_183 2.71 -2.71 7.88 0 0 0 398 398
f1h_240 f0_3 f0_144 0.21 -0.21 8.46 0 0 0 398 398
f1h_241 f0_105 f0_191 0.28 -0.28 7.91 0 0 0 398 398
f1h_242 f0_16 f0_33 2.19 -2.19 6.92 0 0 0 398 398
f1h_243 f0_67 f0_73 0.25 -0.25 8.58 0 0 0 398 398
f1h_245 f0_106 f0_181 -0.57 0.57 8.14 0 0 0 398 398
f1h_246 f0_58 f0_168 -2.29 2.29 6.07 0 0 0 398 398
f1h_247 f0_25 f0_162 0.19 -0.19 9.19 0 0 0 398 398
f1h_248 f0_75 f0_112 -0.78 0.78 7.88 0 0 0 398 398
f1h_249 f0_73 f0_144 -3.16 3.16 5.95 0 0 0 398 398
f1h_252 f0_73 f0_172 -3.27 3.27 7.26 0 0 0 398 398
f1h_253 f0_76 f0_133 -0.38 0.38 9.52 0 0 0 398 398
f1h_254 f0_41 f0_149 0.5 -0.5 8.2 0 0 0 398 398
f1h_256 f0_21 f0_195 0.55 -0.55 8.39 0 0 0 398 398
f1h_259 f0_78 f0_115 0.56 -0.56 9.51 0 0 0 398 398
f1h_261 f0_14 f0_171 3.01 -3.01 6.84 0 0 0 398 398
f1h_264 f0_122 f0_164 0.41 -0.41 8.51 0 0 0 398 398
f1h_265 f0_128 f0_134 1.67 -1.67 8.51 0 0 0 398 398
f1h_266 f0_90 f0_115 -1.34 1.34 7.65 0 0 0 398 398
f1h_267 f0_91 f0_125 1.64 -1.64 7.08 0 0 0 398 398
f1h_269 f0_40 f0_87 -0.26 0.26 9.78 0 0 0 398 398
f1h_270 f0_25 f0_41 -2.75 2.75 6.84 0 0 0 398 398
f1h_271 f0_31 f0_140 -0.4 0.4 7.09 0 0 0 398 398
f1h_272 f0_144 f0_164 -0.44 0.44 7.41 0 0 0 398 398
f1h_273 f0_16 f0_180 1.06 -1.06 7.61 0 0 0 398 398
f1h_276 f0_1 f0_139 -1.17 1.17 7.25 0 0 0 398 398
f1h_278 f0_155 f0_190 -2.14 2.14 6.82 0 0 0 398 398
f1h_279 f0_96 f0_100 1.26 -1.26 7.35 0 0 0 398 398
f1h_280 f0_3 f0_175 1.22 -1.22 8.65 0 0 0 398 398
f1h_282 f0_108 f0_114 1.04 -1.04 7.51 0 0 0 398 398
f1h_286 f0_112 f0_155 0.69 -0.69 7.94 0 0 0 398 398
f1h_287 f0_18 f0_99 -0.53 0.53 8.05 0 0 0 398 398
f1h_288 f0_135 f0_158 -1.45 1.45 7.36 0 0 0 398 398
f1h_291 f0_64 f0_193 -0.99 0.99 8.43 0 0 0 398 398
f1h_294 f0_90 f0_151 1.62 -1.62 8.62 0 0 0 398 398
f1h_296 f0_55 f0_177 -2.43 2.43 7.66 0 0 0 398 398
f1h_297 f0_96 f0_162 1.22 -1.22 7.19 0 0 0 398 398
f1h_300 f0_99 f0_173 2.54 -2.54 7.44 0 0 0 398 398
f1h_302 f0_139 f0_198 3.31 -3.31 7.23 0 0 0 398 398
f1h_304 f0_32 f0_102 1.71 -1.71 6.42 0 0 0 398 398
