id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f1h_2 f0_94 f0_185 2.48 -2.48 15.68 0 0 0 808 808
f1h_4 f0_138 f0_190 0.7 -0.7 18.39 0 0 0 808 808
f1h_5 f0_87 f0_196 2.63 -2.63 15.62 0 0 0 808 808
f1h_6 f0_7 f0_188 -4.32 4.32 17.77 0 0 0 808 808
f1h_10 f0_142 f0_182 1.32 -1.32 18.2 0 0 0 808 808
f1h_12 f0_50 f0_152 2.48 -2.48 16.81 0 0 0 808 808
f1h_13 f0_76 f0_81 0.09 -0.09 18.01 0 0 0 808 808
f1h_14 f0_99 f0_160 -0.36 0.36 18.41 0 0 0 808 808
f1h_15 f0_87 f0_155 2.16 -2.16 16.61 0 0 0 808 808
f1h_16 f0_19 f0_86 -2.07 2.07 16.22 0 0 0 808 808
f1h_23 f0_112 f0_161 -1.19 1.19 17.51 0 0 0 808 808
f1h_26 f0_77 f0_184 -2.16 2.16 15.81 0 0 0 808 808
f1h_30 f0_65 f0_80 -1.42 1.42 16.81 0 0 0 808 808
f1h_33 f0_146 f0_158 0.38 -0.38 17.47 0 0 0 808 808
f1h_35 f0_24 f0_115 -2.08 2.08 15.32 0 0 0 808 808
f1h_38 f0_160 f0_168 0.48 -0.48 18.59 0 0 0 808 808
f1h_39 f0_33 f0_118 -0.66 0.66 16.84 0 0 0 808 808
f1h_40 f0_61 f0_139 0.34 -0.34 17.98 0 0 0 808 808
f1h_42 f0_11 f0_111 0.84 -0.84 17.7 0 0 0 808 808
f1h_45 f0_9 f0_166 4.14 -4.14 17.19 0 0 0 808 808
f1h_47 f0_30 f0_80 -0.32 0.32 17.5 0 0 0 808 808
f1h_48 f0_154 f0_171 -3.3 3.3 15.66 0 0 0 808 808
f1h_49 f0_152 f0_176 3.46 -3.46 17.06 0 0 0 808 808
f1h_50 f0_120 f0_156 2.59 -2.59 14.97 0 0 0 808 808
f1h_51 f0_79 f0_147 -5.38 5.38 14.93 0 0 0 808 808
f1h_52 f0_44 f0_170 1.32 -1.32 17.28 0 0 0 808 808
f1h_53 f0_98 f0_143 2.43 -2.43 16.78 0 0 0 808 808
f1h_55 f0_138 f0_179 0.91 -0.91 16.67 0 0 0 808 808
f1h_56 f0_143 f0_183 1.2 -1.2 19.55 0 0 0 808 808
f1h_57 f0_35 f0_46 -2.86 2.86 15.16 0 0 0 808 808
f1h_59 f0_87 f0_188 1.82 -1.82 16.39 0 0 0 808 808
f1h_60 f0_98 f0_118 -0.94 0.94 19.38 0 0 0 808 808
f1h_62 f0_65 f0_114 -1.4 1.4 17.91 0 0 0 808 808
f1h_65 f0_28 f0_197 -1.72 1.72 15.13 0 0 0 808 808
f1h_68 f0_25 f0_195 -0.21 0.21 16.98 0 0 0 808 808
f1h_69 f0_136 f0_175 0.47 -0.47 17.19 0 0 0 808 808
f1h_70 f0_22 f0_63 0.57 -0.57 17.79 0 0 0 808 808
f1h_72 f0_61 f0_153 1.62 -1.62 17.19 0 0 0 808 808
f1h_74 f0_49 f0_149 -3.89 3.89 16.73 0 0 0 808 808
f1h_75 f0_20 f0_55 0.7 -0.7 17.47 0 0 0 808 808
f1h_76 f0_118 f0_187 -2.18 2.18 16.9 0 0 0 808 808
f1h_77 f0_89 f0_138 -1.78 1.78 17.11 0 0 0 808 808
f1h_78 f0_30 f0_78 -0.51 0.51 17.74 0 0 0 808 808
f1h_79 f0_37 f0_65 -3.68 3.68 17.73 0 0 0 808 808
f1h_83 f0_20 f0_160 2.41 -2.41 15.45 0 0 0 808 808
f1h_84 f0_41 f0_141 -4.31 4.31 14.1 0 0 0 808 808
f1h_85 f0_81 f0_97 -0.47 0.47 17.13 0 0 0 808 808
f1h_86 f0_111 f0_131 1.99 -1.99 19.01 0 0 0 808 808
f1h_87 f0_13 f0_178 0.98 -0.98 17.55 0 0 0 808 808
f1h_88 f0_61 f0_184 1.16 -1.16 18.69 0 0 0 808 808
f1h_89 f0_26 f0_83 -0.66 0.66 18.08 0 0 0 808 808
f1h_90 f0_101 f0_170 2.34 -2.34 17.19 0 0 0 808 808
f1h_92 f0_9 f0_94 6.04 -6.04 15.38 0 0 0 808 808
f1h_96 f0_127 f0_182 -0.69 0.69 20.48 0 0 0 808 808
f1h_97 f0_80 f0_82 4.96 -4.96 16.92 0 0 0 808 808
f1h_98 f0_59 f0_160 1.62 -1.62 17.85 0 0 0 808 808
f1h_99 f0_11 f0_200 -3.67 3.67 16.26 0 0 0 808 808
f1h_100 f0_91 f0_144 -0.05 0.05 19.01 0 0 0 808 808
f1h_102 f0_57 f0_74 1.39 -1.39 16.81 0 0 0 808 808
f1h_104 f0_34 f0_200 -2.92 2.92 14.9 0 0 0 808 808
f1h_105 f0_17 f0_161 -0.97 0.97 17.71 0 0 0 808 808
f1h_106 f0_35 f0_60 -0.7 0.7 17.57 0 0 0 808 808
f1h_107 f0_9 f0_96 -0.15 0.15 19 0 0 0 808 808
f1h_111 f0_89 f0_122 -4.86 4.86 16.26 0 0 0 808 808
f1h_112 f0_14 f0_163 -0.91 0.91 16.47 0 0 0 808 808
f1h_113 f0_40 f0_198 -1.02 1.02 18.99 0 0 0 808 808
f1h_114 f0_29 f0_150 1.88 -1.88 17.27 0 0 0 808 808
f1h_116 f0_107 f0_198 -0.5 0.5 18.48 0 0 0 808 808
f1h_119 f0_59 f0_113 -2.01 2.01 17.88 0 0 0 808 808
f1h_124 f0_34 f0_46 0.42 -0.42 17.85 0 0 0 808 808
f1h_125 f0_5 f0_28 -0.23 0.23 17.84 0 0 0 808 808
f1h_127 f0_28 f0_143 -2.95 2.95 16.98 0 0 0 808 808
f1h_128 f0_19 f0_29 -1.23 1.23 17.51 0 0 0 808 808
f1h_130 f0_106 f0_192 -1.35 1.35 19.46 0 0 0 808 808
f1h_131 f0_66 f0_169 -3.74 3.74 15.97 0 0 0 808 808
f1h_132 f0_88 f0_118 -0.32 0.32 19.27 0 0 0 808 808
f1h_133 f0_66 f0_106 2.6 -2.6 18.39 0 0 0 808 808
f1h_134 f0_39 f0_48 -0.67 0.67 17.3 0 0 0 808 808
f1h_135 f0_47 f0_49 3.92 -3.92 14.22 0 0 0 808 808
f1h_137 f0_56 f0_162 -2.27 2.27 16.9 0 0 0 808 808
f1h_138 f0_76 f0_117 -0.97 0.97 18.64 0 0 0 808 808
f1h_139 f0_22 f0_156 -4.36 4.36 16.46 0 0 0 808 808
f1h_140 f0_87 f0_157 -2.24 2.24 14.9 0 0 0 808 808
f1h_142 f0_17 f0_140 -1.84 1.84 18.44 0 0 0 808 808
f1h_143 f0_116 f0_199 1.41 -1.41 17.42 0 0 0 808 808
f1h_147 f0_61 f0_188 0.13 -0.13 17.31 0 0 0 808 808
f1h_148 f0_9 f0_33 -0.06 0.06 17.67 0 0 0 808 808
f1h_149 f0_38 f0_114 0.02 -0.02 17.48 0 0 0 808 808
f1h_151 f0_150 f0_197 3.19 -3.19 16.88 0 0 0 808 808
f1h_153 f0_142 f0_145 -4.19 4.19 15.89 0 0 0 808 808
f1h_154 f0_118 f0_143 1.81 -1.81 17.12 0 0 0 808 808
f1h_155 f0_109 f0_110 -1.84 1.84 17.71 0 0 0 808 808
f1h_157 f0_150 f0_181 -0.69 0.69 18 0 0 0 808 808
f1h_158 f0_101 f0_121 -1.54 1.54 16.93 0 0 0 808 808
f1h_159 f0_96 f0_105 -0.64 0.64 18.31 0 0 0 808 808
f1h_161 f0_129 f0_198 0.6 -0.6 20.68 0 0 0 808 808
f1h_163 f0_73 f0_198 -0.02 0.02 17.76 0 0 0 808 808
f1h_164 f0_67 f0_72 1.77 -1.77 17.37 0 0 0 808 808
f1h_166 f0_25 f0_183 -0.12 0.12 17.55 0 0 0 808 808
f1h_167 f0_64 f0_76 4.81 -4.81 15.02 0 0 0 808 808
f1h_168 f0_60 f0_88 2.06 -2.06 15.76 0 0 0 808 808
f1h_171 f0_31 f0_194 -1.94 1.94 17.85 0 0 0 808 808
f1h_175 f0_46 f0_199 -1.6 1.6 17.57 0 0 0 808 808
f1h_177 f0_11 f0_32 -3 3 17.81 0 0 0 808 808
f1h_178 f0_115 f0_196 1.34 -1.34 17.41 0 0 0 808 808
f1h_180 f0_131 f0_170 1.04 -1.04 16.21 0 0 0 808 808
f1h_181 f0_2 f0_56 -2.36 2.36 18.41 0 0 0 808 808
f1h_183 f0_42 f0_78 -2.02 2.02 17.83 0 0 0 808 808
f1h_185 f0_46 f0_116 -2.52 2.52 16.51 0 0 0 808 808
f1h_186 f0_2 f0_188 -3.11 3.11 14.75 0 0 0 808 808
f1h_188 f0_46 f0_142 -0.98 0.98 18.94 0 0 0 808 808
f1h_189 f0_131 f0_184 2 -2 15.9 0 0 0 808 808
f1h_194 f0_139 f0_165 1.07 -1.07 16.77 0 0 0 808 808
f1h_195 f0_22 f0_197 4.71 -4.71 14 0 0 0 808 808
f1h_196 f0_64 f0_170 2.29 -2.29 16.47 0 0 0 808 808
f1h_197 f0_33 f0_65 -1.82 1.82 16.99 0 0 0 808 808
f1h_198 f0_42 f0_68 -1.29 1.29 18.17 0 0 0 808 808
f1h_200 f0_61 f0_149 0.75 -0.75 17.62 0 0 0 808 808
f1h_201 f0_63 f0_70 -0.46 0.46 17.17 0 0 0 808 808
f1h_202 f0_12 f0_194 2.14 -2.14 17.21 0 0 0 808 808
f1h_203 f0_27 f0_97 -2.2 2.2 17.22 0 0 0 808 808
f1h_205 f0_8 f0_78 0.1 -0.1 17.5 0 0 0 808 808
f1h_208 f0_36 f0_91 -2.57 2.57 17.82 0 0 0 808 808
f1h_210 f0_73 f0_144 0.26 -0.26 18.89 0 0 0 808 808
f1h_212 f0_173 f0_198 1.85 -1.85 16.93 0 0 0 808 808
f1h_213 f0_87 f0_168 2.22 -2.22 18.78 0 0 0 808 808
f1h_215 f0_43 f0_92 1.57 -1.57 17.41 0 0 0 808 808
f1h_216 f0_160 f0_167 -1.26 1.26 18.33 0 0 0 808 808
f1h_217 f0_144 f0_167 -0.83 0.83 18.65 0 0 0 808 808
f1h_219 f0_19 f0_36 -2.02 2.02 17.37 0 0 0 808 808
f1h_220 f0_161 f0_167 0.99 -0.99 17.71 0 0 0 808 808
f1h_221 f0_186 f0_188 1.95 -1.95 16.2 0 0 0 808 808
f1h_222 f0_20 f0_87 0.1 -0.1 18.03 0 0 0 808 808
f1h_223 f0_79 f0_108 -7.66 7.66 14.8 0 0 0 808 808
f1h_224 f0_9 f0_156 1.7 -1.7 16.67 0 0 0 808 808
f1h_226 f0_34 f0_153 3.12 -3.12 16.41 0 0 0 808 808
f1h_227 f0_136 f0_195 -1.68 1.68 17.74 0 0 0 808 808
f1h_230 f0_27 f0_183 -2.09 2.09 17.26 0 0 0 808 808
f1h_231 f0_21 f0_101 0.12 -0.12 18.27 0 0 0 808 808
f1h_232 f0_84 f0_189 2.68 -2.68 17.43 0 0 0 808 808
f1h_235 f0_112 f0_164 0.85 -0.85 19.58 0 0 0 808 808
f1h_237 f0_128 f0_153 0.59 -0.59 15.65 0 0 0 808 808
f1h_238 f0_94 f0_200 0.18 -0.18 16.18 0 0 0 808 808
f1h_239 f0_2 f0_19 -2.01 2.01 16.38 0 0 0 808 808
f1h_240 f0_70 f0_170 0.97 -0.97 15.78 0 0 0 808 808
f1h_242 f0_79 f0_84 -0.59 0.59 15.96 0 0 0 808 808
f1h_244 f0_29 f0_177 -3.07 3.07 16.6 0 0 0 808 808
f1h_245 f0_43 f0_195 -1.33 1.33 17.69 0 0 0 808 808
f1h_246 f0_63 f0_196 3.72 -3.72 16.1 0 0 0 808 808
