id parent1 parent2 LLRparent1 LLRparent2 LLRpair OHparent1 OHparent2 MEpair SNPd.id.parent1 SNPd.id.parent2
f0_4 f0_213 f0_715 -0.45 0.45 0.68 0 0 0 76 76
f0_4 f0_213 f1h_369 -0.14 0.14 0.4 0 0 0 76 76
f0_4 f0_213 f1w_493 -0.43 0.43 0.56 0 0 0 76 76
f0_4 f0_213 f2_326 -0.04 0.04 0.83 0 0 0 76 76
f0_4 f1h_137 f1h_161 -0.03 0.03 0.66 0 0 0 76 76
f0_4 f1h_161 f2_685 -0.38 0.38 -0.31 0 0 0 76 76
f0_4 f1h_387 f1w_184 -0.01 0.01 1.27 0 0 0 76 76
f0_4 f1h_387 f2_685 0.1 -0.1 0.86 0 0 0 76 76
f0_4 f2_685 f2_873 -0.11 0.11 1.05 0 0 0 76 76
f0_5 f0_989 f1h_69 1.41 -1.41 0.77 0 0 0 76 76
f0_5 f1h_69 f1h_216 -0.18 0.18 0.5 0 0 0 76 76
f0_6 f0_84 f1h_361 0.02 -0.02 0.73 0 0 0 76 76
f0_6 f0_147 f2_839 0.02 -0.02 0.96 0 0 0 76 76
f0_6 f0_829 f2_25 0.33 -0.33 1.05 0 0 0 76 76
f0_6 f0_829 f2_839 0.2 -0.2 0.74 0 0 0 76 76
f0_6 f1h_258 f2_839 -0.28 0.28 1.07 0 0 0 76 76
f0_6 f1h_361 f1h_459 0.76 -0.76 0.47 0 0 0 76 76
f0_6 f1h_361 f2_25 0.32 -0.32 0.8 0 0 0 76 76
f0_6 f1h_361 f2_493 0.18 -0.18 0.79 0 0 0 76 76
f0_6 f1h_361 f2_744 -0.01 0.01 0.49 0 0 0 76 76
f0_6 f1h_361 f2_839 0.13 -0.13 0.57 0 0 0 76 76
f0_6 f1h_361 f2_980 -0.08 0.08 0.66 0 0 0 76 76
f0_6 f2_744 f2_839 0.16 -0.16 0.51 0 0 0 76 76
f0_6 f2_839 f2_980 -0.14 0.14 0.48 0 0 0 76 76
f0_10 f0_503 f1h_361 -0.03 0.03 0.79 0 0 0 76 76
f0_10 f1h_43 f1h_205 0 0 1 0 0 0 76 76
f0_11 f1h_120 f1h_264 0.44 -0.44 1.08 0 0 0 76 76
